job_title,skill_name,estimated,std. error,t-value,P-value,Sig
AI Consultant,Azure                                      ,-803.874,13157.617,-0.061,0.951283,
AI Product Manager,Azure                                 ,1658.226,13553.295,0.122,0.902624,
AI Research Scientist,Azure                              ,8947.701,13283.87,0.674,0.500584,
AI Software Engineer,Azure                              ,-1604.911,12302.777,-0.13,0.89621,
AI Specialist,Azure                                    ,-12816.718,13534.377,-0.947,0.343657,
Autonomous Systems Engineer,Azure                       ,-7367.827,12388.41,-0.595,0.552023,
Computer Vision Engineer,Azure                           ,-192.091,13405.726,-0.014,0.988568,
Data Analyst,Azure                                     ,-10162.389,12970.81,-0.783,0.433349,
Data Engineer,Azure                                     ,-4438.299,12852.847,-0.345,0.729858,
Data Scientist,Azure                                    ,13032.51,12666.643,1.029,0.30354,
Deep Learning Engineer,Azure                             ,1088.94,12726.528,0.086,0.931813,
Head of AI,Azure                                         ,-440.764,12861.723,-0.034,0.972662,
Machine Learning Engineer,Azure                         ,-5947.864,13541.031,-0.439,0.660484,
Machine Learning Researcher,Azure                      ,-11169.558,12634.271,-0.884,0.376664,
ML Ops Engineer,Azure                                   ,-2927.774,12285.593,-0.238,0.811642,
NLP Engineer,Azure                                       ,1425.137,12895.342,0.111,0.912001,
Principal Data Scientist,Azure                          ,10208.767,12802.889,0.797,0.425235,
Research Scientist,Azure                                 ,2888.878,12412.43,0.233,0.815964,
Robotics Engineer,Azure                                 ,-2643.533,13081.865,-0.202,0.839858,
AI Consultant,Docker                                   ,-11573.227,13876.839,-0.834,0.404288,
AI Product Manager,Docker                               ,-3791.193,13647.567,-0.278,0.781173,
AI Research Scientist,Docker                            ,-1044.077,14143.287,-0.074,0.941153,
AI Software Engineer,Docker                             ,-6032.012,13352.574,-0.452,0.651452,
AI Specialist,Docker                                   ,-25838.338,14484.061,-1.784,0.074444,.
Autonomous Systems Engineer,Docker                     ,-18084.043,13048.825,-1.386,0.165792,
Computer Vision Engineer,Docker                         ,-5367.494,13648.181,-0.393,0.694118,
