Coefficients Name,Estimate,Std. Error,t-value,Pr(>|t|),Sig
Job Title : AI Consultant / Years of Experience,-80.612,225.29,-0.358,0.72049,
Job Title : AI Product Manager / Years of Experience,161.151,220.219,0.732,0.46431,
Job Title : AI Research Scientist / Years of Experience,444.318,212.658,2.089,0.03668,*
Job Title : AI Software Engineer / Years of Experience,-85.283,211.407,-0.403,0.68665,
Job Title : AI Specialist / Years of Experience,331.736,215.491,1.539,0.1237,
Job Title : Autonomous Systems Engineer / Years of Experience,-954.409,215.054,-4.438,0.0000091,***
Job Title : Computer Vision Engineer / Years of Experience,80.432,225.185,0.357,0.72096,
Job Title : Data Analyst / Years of Experience,-176.572,218.841,-0.807,0.41976,
Job Title : Data Engineer / Years of Experience,31.42,217.817,0.144,0.8853,
Job Title : Data Scientist / Years of Experience,-119.354,218.79,-0.546,0.5854,
Job Title : Deep Learning Engineer / Years of Experience,10.755,218.938,0.049,0.96082,
Job Title : Head of AI / Years of Experience,409.893,214.933,1.907,0.05652,.
Job Title : Machine Learning Engineer / Years of Experience,581.106,215.838,2.692,0.0071,**
Job Title : Machine Learning Researcher / Years of Experience,234.769,209.985,1.118,0.26356,
Job Title : ML Ops Engineer / Years of Experience,-255.412,219.144,-1.165,0.24382,
Job Title : NLP Engineer / Years of Experience,287.207,218.754,1.313,0.18922,
Job Title : Principal Data Scientist / Years of Experience,602.65,218.226,2.762,0.00575,**
Job Title : Research Scientist / Years of Experience,-43.073,213.957,-0.201,0.84045,
Job Title : Robotics Engineer / Years of Experience,-168.945,214.372,-0.788,0.43065,
Years of Experience / Skill Name : Azure,65.669,245.51,0.267,0.7891,
Years of Experience / Skill Name : Docker,37.934,253.701,0.15,0.88114,
Years of Experience / Skill Name : GCP,152.775,237.925,0.642,0.5208,
Years of Experience / Skill Name : Git,-11.061,237.017,-0.047,0.96278,
Years of Experience / Skill Name : Hadoop,248.822,239.429,1.039,0.2987,
Years of Experience / Skill Name : Java,3.791,237.001,0.016,0.98724,
Years of Experience / Skill Name : Kubernetes,-200.941,230.407,-0.872,0.38315,
Years of Experience / Skill Name : MLOps,148.216,242.951,0.61,0.54182,
Years of Experience / Skill Name : MLP,321.648,243.123,1.323,0.18585,
Years of Experience / Skill Name : PySpark,101.844,243.839,0.418,0.67619,
Years of Experience / Skill Name : Python,165.641,216.296,0.766,0.44379,
Years of Experience / Skill Name : PyTorch,58.531,233.767,0.25,0.80229,
Years of Experience / Skill Name : R,463.747,240.52,1.928,0.05385,.
Years of Experience / Skill Name : Scala,55.761,231.868,0.24,0.80995,
Years of Experience / Skill Name : SQL,24.484,225.176,0.109,0.91342,
Years of Experience / Skill Name : Tableau,292.675,240.545,1.217,0.22372,
Years of Experience / Skill Name : Tensorflow,-26.023,229.279,-0.114,0.90963,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
