Comparison Yrs of Exp.(First),Comparison Yrs of Exp.(Last),Years Difference,Differentation,Lower,Upper,P-value(Adjustment)
2,1,1,25668.97511,20721.3551,30616.59515,0
9,10,1,-68036.69604,-76488.8,-59584.59207,0
5,4,1,32450.13571,26298.8053,38601.46612,0
2,0,2,25711.88289,20797.1556,30626.6102,0
3,1,2,23960.98208,19022.8303,28899.1339,0
8,10,2,-66068.86615,-74564.893,-57572.83928,0
9,11,2,-65237.7213,-73771.5568,-56703.88582,0
5,3,2,33266.50158,27071.6502,39461.35297,0
6,4,2,36197.94539,30036.3127,42359.57807,0
3,0,3,24003.88986,19098.6942,28909.08547,0
4,1,3,24777.34795,19893.9039,29660.79196,0
7,10,3,-70176.81882,-78578.1687,-61775.46893,0
8,11,3,-63269.8914,-71847.2312,-54692.55156,0
9,12,3,-73019.01604,-81638.7031,-64399.32897,0
5,2,3,31558.50855,25356.107,37760.91005,0
6,3,3,37014.31126,30809.2299,43219.39267,0
7,4,3,32174.31898,26053.3526,38295.28534,0
4,0,4,24820.25573,19970.1397,29670.3718,0
5,1,4,57227.48366,51416.3958,63038.57148,0
6,10,4,-66153.19241,-74584.2165,-57722.16827,0
7,11,4,-67377.84408,-75861.4144,-58894.2737,0
8,12,4,-71051.18614,-79713.9464,-62388.42584,0
9,13,4,-68645.31568,-77047.4153,-60243.21611,0
6,2,4,35306.31823,29093.6991,41518.93731,0
7,3,4,32990.68485,26825.9831,39155.38656,0
8,4,4,36282.27165,30031.9899,42532.55338,0
5,0,5,57270.39144,51487.2831,63053.49979,0
6,1,5,60975.29334,55153.3011,66797.28554,0
5,10,5,-69901.00209,-78324.5,-61477.50421,0
6,11,5,-63354.21766,-71867.1757,-54841.25964,0
7,12,5,-75159.13882,-83729.0643,-66589.21329,0
8,13,5,-66677.48578,-75123.7683,-58231.20328,0
9,14,5,-63502.56552,-72106.3222,-54898.80884,0
7,2,5,31282.69181,25110.4031,37454.98052,0
8,3,5,37098.63752,30805.5191,43391.75596,0
9,4,5,34314.44176,28123.9966,40504.88688,0
6,0,6,61018.20112,55224.1357,66812.26651,0
7,1,6,56951.66693,51172.7306,62730.60326,0
4,10,6,-102351.1378,-110163.6022,-94538.67338,0
5,11,6,-67102.02734,-75607.5316,-58596.52308,0
6,12,6,-71135.5124,-79734.5305,-62536.49435,0
7,13,6,-70785.43846,-79136.4801,-62434.39687,0
8,14,6,-61534.73562,-70181.6449,-52887.82636,0
9,15,6,-62424.17462,-70819.2527,-54029.09651,0
8,2,6,35390.64449,29090.0937,41691.19529,0
9,3,6,35130.80763,28897.1146,41364.50066,0
7,0,7,56994.5747,51243.7743,62745.37514,0
8,1,7,61059.6196,55143.8865,66975.35266,0
3,10,7,-103167.5037,-111014.2812,-95320.7261,0
4,11,7,-99552.16305,-107452.9786,-91651.34749,0
5,12,7,-74883.32208,-83474.961,-66291.68312,0
6,13,7,-66761.81205,-75142.706,-58380.91808,0
7,14,7,-65642.6883,-74196.5908,-57088.78584,0
8,15,7,-60456.34473,-68895.6425,-52017.04692,0
9,16,7,-58960.73868,-67280.5115,-50640.96585,0
9,2,7,33422.81459,27181.6184,39664.01075,0
8,0,8,61102.52738,55214.2765,66990.77824,0
9,1,8,59091.78971,53239.3127,64944.26668,0
2,10,8,-101459.5106,-109312.2502,-93606.77106,0
3,11,8,-100368.5289,-108303.2756,-92433.78226,0
4,12,8,-107333.4578,-115326.9266,-99339.98898,0
5,13,8,-70509.62173,-78882.9444,-62136.29908,0
6,14,8,-61619.06188,-70202.1112,-53036.01258,0
7,15,8,-64564.2974,-72908.2746,-56220.32024,0
8,16,8,-56992.90879,-65357.2994,-48628.51815,0
9,17,8,-63062.16481,-71673.8684,-54450.4612,0
9,0,9,59134.69748,53310.0012,64959.39381,0
10,1,9,127128.4858,119581.0043,134675.9672,0
2,11,9,-98660.53589,-106601.1785,-90719.89327,0
3,12,9,-108149.8237,-116176.8319,-100122.8154,0
4,13,9,-102959.7574,-110718.0959,-95201.41896,0
5,14,9,-65366.87157,-73942.528,-56791.2151,0
6,15,9,-60540.67099,-68914.5257,-52166.81626,0
7,16,9,-61100.86146,-69369.0679,-52832.65499,0
8,17,9,-61094.33492,-69749.1515,-52439.51834,0
9,18,9,-64232.91299,-72951.3482,-55514.47777,0
10,0,10,127171.3935,119645.4333,134697.3537,0
11,1,10,124329.511,116690.613,131968.409,0
2,12,10,-106441.8306,-114474.6671,-98408.99412,0
3,13,10,-103776.1233,-111569.0133,-95983.23335,0
4,14,10,-97817.00728,-105793.2951,-89840.71945,0
5,15,10,-64288.48067,-72654.7577,-55922.20363,0
6,16,10,-57077.23505,-65375.5919,-48778.8782,0
7,17,10,-65202.28759,-73764.1833,-56640.39192,0
8,18,10,-62265.0831,-71026.1061,-53504.06013,0
9,19,10,-68094.80992,-76591.0027,-59598.61712,0
11,0,11,124372.4188,116754.7838,131990.0538,0
12,1,11,132110.8057,124376.1164,139845.4951,0
2,13,11,-102068.1303,-109867.0234,-94269.23712,0
3,14,11,-98633.37315,-106643.2724,-90623.47392,0
4,15,11,-96738.61638,-104489.3502,-88987.88253,0
5,16,11,-60825.04473,-69115.7549,-52534.33458,0
6,17,11,-61178.66118,-69769.6766,-52587.64579,0
7,18,11,-66373.03577,-75042.2763,-57703.79526,0
8,19,11,-66126.98003,-74666.869,-57587.09109,0
12,0,12,132153.7135,124440.0231,139867.404,0
13,1,12,127737.1054,120245.6642,135228.5466,0
2,14,12,-96925.38011,-104941.12,-88909.64021,0
3,15,12,-97554.98225,-105340.3013,-89769.66317,0
4,16,12,-93275.18044,-100944.2846,-85606.07628,0
5,17,12,-64926.47086,-73510.1003,-56342.84144,0
6,18,12,-62349.40936,-71047.4102,-53651.40849,0
7,19,12,-70234.9327,-78680.6364,-61789.22903,0
13,0,13,127780.0132,120310.2546,135249.7717,0
14,1,13,122594.3552,114877.423,130311.2875,0
2,15,13,-95846.98922,-103638.3173,-88055.6611,0
3,16,13,-94091.54631,-101795.6022,-86387.49046,0
4,17,13,-97376.60657,-105361.4659,-89391.74729,0
5,18,13,-66097.21904,-74787.9249,-57406.51322,0
6,19,13,-66211.30629,-74686.5289,-57736.08366,0
14,0,14,122637.263,114941.3781,130333.1479,0
15,1,14,121515.9643,114032.3989,128999.5297,0
2,16,14,-92383.55328,-100093.6815,-84673.42506,0
3,17,14,-98192.97244,-106211.4072,-90174.53769,0
4,18,14,-98547.35475,-106647.2098,-90447.49973,0
5,19,14,-69959.11597,-78426.8516,-61491.38032,0
15,0,15,121558.8721,114097.0123,129020.7319,0
