id_cleaned,job_title,years_experience,salary_usd
8644,"AI Research Scientist",0,33218
7422,"AI Research Scientist",0,33628
10984,"AI Research Scientist",0,34721
10354,"AI Research Scientist",0,36574
13893,"AI Research Scientist",0,36828
10723,"AI Research Scientist",0,37048
8984,"AI Research Scientist",0,37547
2751,"AI Research Scientist",0,37896
7094,"AI Research Scientist",0,39309
8411,"AI Research Scientist",0,39408
3627,"AI Research Scientist",0,39749
1959,"AI Research Scientist",0,40124
13810,"AI Research Scientist",0,40733
5610,"AI Research Scientist",0,41021
13320,"AI Research Scientist",0,42869
4135,"AI Research Scientist",0,42952
3335,"AI Research Scientist",0,42986
2923,"AI Research Scientist",0,43159
3146,"AI Research Scientist",0,43806
1421,"AI Research Scientist",0,44236
9147,"AI Research Scientist",0,44891
7381,"AI Research Scientist",0,45024
10406,"AI Research Scientist",0,46025
1159,"AI Research Scientist",0,46544
14343,"AI Research Scientist",0,46618
758,"AI Research Scientist",0,47386
1859,"AI Research Scientist",0,48152
3873,"AI Research Scientist",0,48323
11914,"AI Research Scientist",0,48466
14165,"AI Research Scientist",0,48713
4768,"AI Research Scientist",0,48884
3508,"AI Research Scientist",0,49035
4766,"AI Research Scientist",0,49041
4774,"AI Research Scientist",0,49354
3441,"AI Research Scientist",0,49709
4161,"AI Research Scientist",0,49858
3079,"AI Research Scientist",0,49933
12458,"AI Research Scientist",0,50356
14336,"AI Research Scientist",0,50601
9614,"AI Research Scientist",0,51570
5520,"AI Research Scientist",0,52021
4830,"AI Research Scientist",0,52110
12825,"AI Research Scientist",0,52341
8864,"AI Research Scientist",0,52418
4603,"AI Research Scientist",0,53990
2653,"AI Research Scientist",0,54645
2811,"AI Research Scientist",0,54712
7448,"AI Research Scientist",0,55162
5302,"AI Research Scientist",0,55595
4397,"AI Research Scientist",0,55611
4304,"AI Research Scientist",0,55665
8161,"AI Research Scientist",0,56088
848,"AI Research Scientist",0,56145
1332,"AI Research Scientist",0,56311
6639,"AI Research Scientist",0,56721
2098,"AI Research Scientist",0,56957
713,"AI Research Scientist",0,57025
13602,"AI Research Scientist",0,57369
9529,"AI Research Scientist",0,57503
5268,"AI Research Scientist",0,58379
6872,"AI Research Scientist",0,59763
12844,"AI Research Scientist",0,60730
370,"AI Research Scientist",0,61122
1014,"AI Research Scientist",0,62406
