id_cleaned,job_title,years_experience,salary_usd
1856,"AI Specialist",0,34174
1239,"AI Specialist",0,34317
7441,"AI Specialist",0,34386
9937,"AI Specialist",0,34771
4858,"AI Specialist",0,36052
4958,"AI Specialist",0,36553
13873,"AI Specialist",0,36575
10127,"AI Specialist",0,38196
2614,"AI Specialist",0,38594
14587,"AI Specialist",0,38872
7945,"AI Specialist",0,41721
1175,"AI Specialist",0,41740
11267,"AI Specialist",0,42137
4295,"AI Specialist",0,43387
4450,"AI Specialist",0,44149
1190,"AI Specialist",0,45604
13963,"AI Specialist",0,46673
11377,"AI Specialist",0,47253
1130,"AI Specialist",0,47291
7214,"AI Specialist",0,47887
9659,"AI Specialist",0,48716
13140,"AI Specialist",0,48797
10755,"AI Specialist",0,50004
1325,"AI Specialist",0,51178
8466,"AI Specialist",0,51543
12628,"AI Specialist",0,52323
1659,"AI Specialist",0,52990
7852,"AI Specialist",0,53034
13792,"AI Specialist",0,53092
838,"AI Specialist",0,54256
11697,"AI Specialist",0,54878
1383,"AI Specialist",0,55093
3972,"AI Specialist",0,55165
9572,"AI Specialist",0,55632
2174,"AI Specialist",0,56123
4439,"AI Specialist",0,56476
12236,"AI Specialist",0,56628
8230,"AI Specialist",0,57577
14333,"AI Specialist",0,58735
5288,"AI Specialist",0,59448
13130,"AI Specialist",0,62357
12139,"AI Specialist",0,62382
9412,"AI Specialist",0,63371
3484,"AI Specialist",0,63471
4489,"AI Specialist",0,63954
6095,"AI Specialist",0,64058
13681,"AI Specialist",0,66326
3491,"AI Specialist",0,66393
5826,"AI Specialist",0,66469
3236,"AI Specialist",0,66536
5376,"AI Specialist",0,66588
13434,"AI Specialist",0,66597
3244,"AI Specialist",0,69068
88,"AI Specialist",0,69914
3173,"AI Specialist",0,70399
6441,"AI Specialist",0,71168
12899,"AI Specialist",0,73734
1077,"AI Specialist",0,73796
9733,"AI Specialist",0,76814
13084,"AI Specialist",0,77491
12626,"AI Specialist",0,77526
496,"AI Specialist",0,77545
11177,"AI Specialist",0,78581
5150,"AI Specialist",0,78878
13013,"AI Specialist",0,79017
1652,"AI Specialist",0,79116
7397,"AI Specialist",0,80739
6783,"AI Specialist",0,82293
6246,"AI Specialist",0,85103
10387,"AI Specialist",0,86644
7836,"AI Specialist",0,86860
12194,"AI Specialist",0,89534
1912,"AI Specialist",0,94462
13826,"AI Specialist",0,94936
188,"AI Specialist",0,98422
537,"AI Specialist",0,108886
2638,"AI Specialist",0,110108
10465,"AI Specialist",1,34323
8909,"AI Specialist",1,35512
4259,"AI Specialist",1,37142
6233,"AI Specialist",1,38954
6567,"AI Specialist",1,40032
39,"AI Specialist",1,41430
5131,"AI Specialist",1,42452
11529,"AI Specialist",1,42975
14738,"AI Specialist",1,43493
8966,"AI Specialist",1,43563
4643,"AI Specialist",1,43590
4114,"AI Specialist",1,43832
13694,"AI Specialist",1,44028
7725,"AI Specialist",1,44927
12433,"AI Specialist",1,45107
6204,"AI Specialist",1,45881
2339,"AI Specialist",1,45946
8982,"AI Specialist",1,46460
2722,"AI Specialist",1,46978
11207,"AI Specialist",1,47201
1649,"AI Specialist",1,47257
13502,"AI Specialist",1,47359
5114,"AI Specialist",1,48077
6081,"AI Specialist",1,48119
3716,"AI Specialist",1,48136
6460,"AI Specialist",1,48462
4953,"AI Specialist",1,48584
10055,"AI Specialist",1,49913
13476,"AI Specialist",1,49949
8217,"AI Specialist",1,50467
2193,"AI Specialist",1,51204
4882,"AI Specialist",1,51230
6777,"AI Specialist",1,51258
3773,"AI Specialist",1,52834
10943,"AI Specialist",1,54105
8997,"AI Specialist",1,54740
1594,"AI Specialist",1,55250
14317,"AI Specialist",1,55330
14202,"AI Specialist",1,55557
8768,"AI Specialist",1,55770
3909,"AI Specialist",1,55982
10116,"AI Specialist",1,56424
43,"AI Specialist",1,56745
11608,"AI Specialist",1,57234
7185,"AI Specialist",1,58052
889,"AI Specialist",1,60149
14846,"AI Specialist",1,62597
3926,"AI Specialist",1,62697
14286,"AI Specialist",1,62726
2340,"AI Specialist",1,63490
8604,"AI Specialist",1,64053
4384,"AI Specialist",1,64559
11540,"AI Specialist",1,64631
7347,"AI Specialist",1,64933
6365,"AI Specialist",1,65112
4983,"AI Specialist",1,65507
3946,"AI Specialist",1,65659
6416,"AI Specialist",1,66890
1005,"AI Specialist",1,68130
10392,"AI Specialist",1,68380
4463,"AI Specialist",1,68853
3567,"AI Specialist",1,72957
10234,"AI Specialist",1,73197
6377,"AI Specialist",1,73739
8402,"AI Specialist",1,73888
14554,"AI Specialist",1,73990
194,"AI Specialist",1,74408
1415,"AI Specialist",1,75304
8760,"AI Specialist",1,75866
6867,"AI Specialist",1,78060
598,"AI Specialist",1,79627
7846,"AI Specialist",1,80003
11920,"AI Specialist",1,81023
9392,"AI Specialist",1,81881
11063,"AI Specialist",1,83301
6845,"AI Specialist",1,86408
14250,"AI Specialist",1,87476
10373,"AI Specialist",1,88886
12938,"AI Specialist",1,91647
5712,"AI Specialist",1,92282
4476,"AI Specialist",1,94980
1151,"AI Specialist",1,97554
7191,"AI Specialist",1,101929
2845,"AI Specialist",1,107517
7245,"AI Specialist",1,112331
6902,"AI Specialist",1,114608
9499,"AI Specialist",1,130158
5215,"AI Specialist",2,48072
12366,"AI Specialist",2,48656
7997,"AI Specialist",2,50792
2760,"AI Specialist",2,53223
4078,"AI Specialist",2,54696
12982,"AI Specialist",2,54995
5106,"AI Specialist",2,56219
8499,"AI Specialist",2,57831
204,"AI Specialist",2,59056
8276,"AI Specialist",2,59225
110,"AI Specialist",2,64261
12018,"AI Specialist",2,65159
1716,"AI Specialist",2,66037
11027,"AI Specialist",2,66919
6948,"AI Specialist",2,69265
13881,"AI Specialist",2,69769
5732,"AI Specialist",2,69843
9586,"AI Specialist",2,72358
9784,"AI Specialist",2,73118
