id_cleaned,job_title,years_experience,salary_usd
14,"Autonomous Systems Engineer",0,68760
87,"Autonomous Systems Engineer",0,33314
293,"Autonomous Systems Engineer",0,50749
759,"Autonomous Systems Engineer",0,53057
872,"Autonomous Systems Engineer",0,54120
943,"Autonomous Systems Engineer",0,39252
965,"Autonomous Systems Engineer",0,50052
1067,"Autonomous Systems Engineer",0,64276
1452,"Autonomous Systems Engineer",0,75856
1482,"Autonomous Systems Engineer",0,52752
1524,"Autonomous Systems Engineer",0,48540
2194,"Autonomous Systems Engineer",0,48929
2528,"Autonomous Systems Engineer",0,73838
2631,"Autonomous Systems Engineer",0,67539
3049,"Autonomous Systems Engineer",0,38844
3070,"Autonomous Systems Engineer",0,51200
3073,"Autonomous Systems Engineer",0,101432
3629,"Autonomous Systems Engineer",0,84693
3825,"Autonomous Systems Engineer",0,44217
3908,"Autonomous Systems Engineer",0,46457
4004,"Autonomous Systems Engineer",0,46943
4149,"Autonomous Systems Engineer",0,112546
4310,"Autonomous Systems Engineer",0,66792
4459,"Autonomous Systems Engineer",0,81205
4524,"Autonomous Systems Engineer",0,63743
4990,"Autonomous Systems Engineer",0,58368
5241,"Autonomous Systems Engineer",0,97117
5265,"Autonomous Systems Engineer",0,34148
5290,"Autonomous Systems Engineer",0,56449
5429,"Autonomous Systems Engineer",0,55567
5457,"Autonomous Systems Engineer",0,52089
5479,"Autonomous Systems Engineer",0,67363
5518,"Autonomous Systems Engineer",0,50261
5879,"Autonomous Systems Engineer",0,42185
5950,"Autonomous Systems Engineer",0,95873
6076,"Autonomous Systems Engineer",0,63348
6077,"Autonomous Systems Engineer",0,83942
6132,"Autonomous Systems Engineer",0,41958
6165,"Autonomous Systems Engineer",0,58287
6401,"Autonomous Systems Engineer",0,90582
6792,"Autonomous Systems Engineer",0,51979
7082,"Autonomous Systems Engineer",0,86273
7231,"Autonomous Systems Engineer",0,79859
7290,"Autonomous Systems Engineer",0,57467
7303,"Autonomous Systems Engineer",0,95531
7401,"Autonomous Systems Engineer",0,89841
7600,"Autonomous Systems Engineer",0,85149
7747,"Autonomous Systems Engineer",0,44838
7890,"Autonomous Systems Engineer",0,69447
7943,"Autonomous Systems Engineer",0,59644
7952,"Autonomous Systems Engineer",0,59811
8011,"Autonomous Systems Engineer",0,57246
8233,"Autonomous Systems Engineer",0,89217
8235,"Autonomous Systems Engineer",0,75881
8254,"Autonomous Systems Engineer",0,65241
8507,"Autonomous Systems Engineer",0,50658
9035,"Autonomous Systems Engineer",0,61638
9533,"Autonomous Systems Engineer",0,73566
9606,"Autonomous Systems Engineer",0,53172
9650,"Autonomous Systems Engineer",0,91208
9712,"Autonomous Systems Engineer",0,63102
10358,"Autonomous Systems Engineer",0,75944
10853,"Autonomous Systems Engineer",0,45645
10920,"Autonomous Systems Engineer",0,68579
11102,"Autonomous Systems Engineer",0,44275
11154,"Autonomous Systems Engineer",0,33172
11264,"Autonomous Systems Engineer",0,50183
11627,"Autonomous Systems Engineer",0,62360
11673,"Autonomous Systems Engineer",0,65919
11704,"Autonomous Systems Engineer",0,62144
11787,"Autonomous Systems Engineer",0,56068
11991,"Autonomous Systems Engineer",0,77633
12092,"Autonomous Systems Engineer",0,55505
12292,"Autonomous Systems Engineer",0,101075
12870,"Autonomous Systems Engineer",0,49957
12956,"Autonomous Systems Engineer",0,63372
12997,"Autonomous Systems Engineer",0,37110
13144,"Autonomous Systems Engineer",0,44829
13148,"Autonomous Systems Engineer",0,81362
13190,"Autonomous Systems Engineer",0,47081
13197,"Autonomous Systems Engineer",0,69531
13271,"Autonomous Systems Engineer",0,58865
13338,"Autonomous Systems Engineer",0,33376
13566,"Autonomous Systems Engineer",0,46845
13571,"Autonomous Systems Engineer",0,47117
13579,"Autonomous Systems Engineer",0,47234
13710,"Autonomous Systems Engineer",0,72101
13775,"Autonomous Systems Engineer",0,51320
14029,"Autonomous Systems Engineer",0,50393
14145,"Autonomous Systems Engineer",0,99902
14243,"Autonomous Systems Engineer",0,72720
14285,"Autonomous Systems Engineer",0,62678
14294,"Autonomous Systems Engineer",0,56898
14434,"Autonomous Systems Engineer",0,56684
14508,"Autonomous Systems Engineer",0,54803
14892,"Autonomous Systems Engineer",0,65740
133,"Autonomous Systems Engineer",1,61893
142,"Autonomous Systems Engineer",1,53088
339,"Autonomous Systems Engineer",1,46591
347,"Autonomous Systems Engineer",1,92574
360,"Autonomous Systems Engineer",1,77926
422,"Autonomous Systems Engineer",1,99795
746,"Autonomous Systems Engineer",1,46224
807,"Autonomous Systems Engineer",1,66331
813,"Autonomous Systems Engineer",1,51557
832,"Autonomous Systems Engineer",1,34007
849,"Autonomous Systems Engineer",1,47908
950,"Autonomous Systems Engineer",1,36197
1449,"Autonomous Systems Engineer",1,72800
1678,"Autonomous Systems Engineer",1,55655
2050,"Autonomous Systems Engineer",1,61701
2054,"Autonomous Systems Engineer",1,75077
2178,"Autonomous Systems Engineer",1,75835
2213,"Autonomous Systems Engineer",1,73664
2432,"Autonomous Systems Engineer",1,51367
2482,"Autonomous Systems Engineer",1,52050
2495,"Autonomous Systems Engineer",1,95635
2783,"Autonomous Systems Engineer",1,51501
2784,"Autonomous Systems Engineer",1,41386
2880,"Autonomous Systems Engineer",1,42927
2911,"Autonomous Systems Engineer",1,61494
2922,"Autonomous Systems Engineer",1,75375
3306,"Autonomous Systems Engineer",1,51068
3317,"Autonomous Systems Engineer",1,38957
3338,"Autonomous Systems Engineer",1,58392
3499,"Autonomous Systems Engineer",1,65562
3925,"Autonomous Systems Engineer",1,54649
3943,"Autonomous Systems Engineer",1,65535
3959,"Autonomous Systems Engineer",1,67560
4202,"Autonomous Systems Engineer",1,58388
4683,"Autonomous Systems Engineer",1,58003
4791,"Autonomous Systems Engineer",1,60004
5032,"Autonomous Systems Engineer",1,88417
5053,"Autonomous Systems Engineer",1,53083
5062,"Autonomous Systems Engineer",1,60086
5093,"Autonomous Systems Engineer",1,70959
5144,"Autonomous Systems Engineer",1,91631
5304,"Autonomous Systems Engineer",1,47538
5697,"Autonomous Systems Engineer",1,53825
5725,"Autonomous Systems Engineer",1,85686
5813,"Autonomous Systems Engineer",1,37672
6000,"Autonomous Systems Engineer",1,44343
6121,"Autonomous Systems Engineer",1,57760
6156,"Autonomous Systems Engineer",1,46093
6175,"Autonomous Systems Engineer",1,40789
6568,"Autonomous Systems Engineer",1,59762
6599,"Autonomous Systems Engineer",1,101914
6627,"Autonomous Systems Engineer",1,90807
6857,"Autonomous Systems Engineer",1,57169
7076,"Autonomous Systems Engineer",1,62840
7084,"Autonomous Systems Engineer",1,62786
7400,"Autonomous Systems Engineer",1,35148
7623,"Autonomous Systems Engineer",1,51318
7935,"Autonomous Systems Engineer",1,83646
7999,"Autonomous Systems Engineer",1,53110
8492,"Autonomous Systems Engineer",1,80017
8547,"Autonomous Systems Engineer",1,43575
8691,"Autonomous Systems Engineer",1,32790
8820,"Autonomous Systems Engineer",1,63712
8831,"Autonomous Systems Engineer",1,78148
9063,"Autonomous Systems Engineer",1,37060
9121,"Autonomous Systems Engineer",1,49118
9348,"Autonomous Systems Engineer",1,62759
9486,"Autonomous Systems Engineer",1,100732
9690,"Autonomous Systems Engineer",1,80700
9717,"Autonomous Systems Engineer",1,61049
10073,"Autonomous Systems Engineer",1,49572
10114,"Autonomous Systems Engineer",1,44991
10339,"Autonomous Systems Engineer",1,35962
10717,"Autonomous Systems Engineer",1,82237
10724,"Autonomous Systems Engineer",1,45088
10772,"Autonomous Systems Engineer",1,67746
10871,"Autonomous Systems Engineer",1,64841
11454,"Autonomous Systems Engineer",1,84766
11592,"Autonomous Systems Engineer",1,66646
11982,"Autonomous Systems Engineer",1,69209
12215,"Autonomous Systems Engineer",1,39965
12307,"Autonomous Systems Engineer",1,96219
12553,"Autonomous Systems Engineer",1,90869
12805,"Autonomous Systems Engineer",1,67253
12818,"Autonomous Systems Engineer",1,45363
12840,"Autonomous Systems Engineer",1,43598
13117,"Autonomous Systems Engineer",1,35508
13691,"Autonomous Systems Engineer",1,43480
13711,"Autonomous Systems Engineer",1,47291
13763,"Autonomous Systems Engineer",1,58444
14085,"Autonomous Systems Engineer",1,116790
14147,"Autonomous Systems Engineer",1,61327
14505,"Autonomous Systems Engineer",1,38823
14659,"Autonomous Systems Engineer",1,48145
14953,"Autonomous Systems Engineer",1,50137
22,"Autonomous Systems Engineer",2,102550
478,"Autonomous Systems Engineer",2,73669
503,"Autonomous Systems Engineer",2,130454
586,"Autonomous Systems Engineer",2,112595
1008,"Autonomous Systems Engineer",2,51029
1533,"Autonomous Systems Engineer",2,76917
1725,"Autonomous Systems Engineer",2,84479
1992,"Autonomous Systems Engineer",2,84035
2153,"Autonomous Systems Engineer",2,77881
2161,"Autonomous Systems Engineer",2,72788
2205,"Autonomous Systems Engineer",2,79005
2543,"Autonomous Systems Engineer",2,80143
2679,"Autonomous Systems Engineer",2,83546
2960,"Autonomous Systems Engineer",2,175899
3082,"Autonomous Systems Engineer",2,64081
3097,"Autonomous Systems Engineer",2,109883
3299,"Autonomous Systems Engineer",2,152074
3661,"Autonomous Systems Engineer",2,133001
3708,"Autonomous Systems Engineer",2,91502
3856,"Autonomous Systems Engineer",2,158932
3875,"Autonomous Systems Engineer",2,81364
4026,"Autonomous Systems Engineer",2,108449
4027,"Autonomous Systems Engineer",2,84350
4073,"Autonomous Systems Engineer",2,60456
4285,"Autonomous Systems Engineer",2,50472
4412,"Autonomous Systems Engineer",2,121597
4661,"Autonomous Systems Engineer",2,142635
4726,"Autonomous Systems Engineer",2,113357
4747,"Autonomous Systems Engineer",2,68975
4828,"Autonomous Systems Engineer",2,121080
5883,"Autonomous Systems Engineer",2,78724
6103,"Autonomous Systems Engineer",2,83920
6109,"Autonomous Systems Engineer",2,79022
6154,"Autonomous Systems Engineer",2,84441
6480,"Autonomous Systems Engineer",2,107304
6757,"Autonomous Systems Engineer",2,123036
6760,"Autonomous Systems Engineer",2,52222
6918,"Autonomous Systems Engineer",2,62788
6949,"Autonomous Systems Engineer",2,145735
7698,"Autonomous Systems Engineer",2,126152
7758,"Autonomous Systems Engineer",2,86749
7837,"Autonomous Systems Engineer",2,73743
7955,"Autonomous Systems Engineer",2,133271
8177,"Autonomous Systems Engineer",2,85781
8576,"Autonomous Systems Engineer",2,84711
9086,"Autonomous Systems Engineer",2,94887
9159,"Autonomous Systems Engineer",2,110296
9162,"Autonomous Systems Engineer",2,59134
9313,"Autonomous Systems Engineer",2,92151
9353,"Autonomous Systems Engineer",2,88386
9525,"Autonomous Systems Engineer",2,73940
9642,"Autonomous Systems Engineer",2,138719
10167,"Autonomous Systems Engineer",2,67260
10411,"Autonomous Systems Engineer",2,77503
10630,"Autonomous Systems Engineer",2,67395
10634,"Autonomous Systems Engineer",2,64922
10883,"Autonomous Systems Engineer",2,123876
10912,"Autonomous Systems Engineer",2,95117
11494,"Autonomous Systems Engineer",2,137464
12119,"Autonomous Systems Engineer",2,107122
12259,"Autonomous Systems Engineer",2,61433
12268,"Autonomous Systems Engineer",2,154093
12335,"Autonomous Systems Engineer",2,149538
12437,"Autonomous Systems Engineer",2,101218
12481,"Autonomous Systems Engineer",2,85255
12583,"Autonomous Systems Engineer",2,83492
12806,"Autonomous Systems Engineer",2,165436
12921,"Autonomous Systems Engineer",2,72817
12976,"Autonomous Systems Engineer",2,88502
13009,"Autonomous Systems Engineer",2,68010
13293,"Autonomous Systems Engineer",2,147022
13421,"Autonomous Systems Engineer",2,116606
13600,"Autonomous Systems Engineer",2,89940
13615,"Autonomous Systems Engineer",2,119429
13768,"Autonomous Systems Engineer",2,85289
14011,"Autonomous Systems Engineer",2,64718
14058,"Autonomous Systems Engineer",2,107502
14293,"Autonomous Systems Engineer",2,119427
272,"Autonomous Systems Engineer",3,68857
426,"Autonomous Systems Engineer",3,101978
700,"Autonomous Systems Engineer",3,67912
788,"Autonomous Systems Engineer",3,56723
991,"Autonomous Systems Engineer",3,88118
1457,"Autonomous Systems Engineer",3,79810
1519,"Autonomous Systems Engineer",3,81157
1749,"Autonomous Systems Engineer",3,105834
1902,"Autonomous Systems Engineer",3,86675
2336,"Autonomous Systems Engineer",3,89988
2345,"Autonomous Systems Engineer",3,77626
2466,"Autonomous Systems Engineer",3,132942
2699,"Autonomous Systems Engineer",3,123333
2958,"Autonomous Systems Engineer",3,47110
3302,"Autonomous Systems Engineer",3,63930
3655,"Autonomous Systems Engineer",3,105443
3874,"Autonomous Systems Engineer",3,63991
4323,"Autonomous Systems Engineer",3,88342
4538,"Autonomous Systems Engineer",3,111567
4549,"Autonomous Systems Engineer",3,112015
4698,"Autonomous Systems Engineer",3,112267
4773,"Autonomous Systems Engineer",3,67853
5042,"Autonomous Systems Engineer",3,80369
5593,"Autonomous Systems Engineer",3,67598
6561,"Autonomous Systems Engineer",3,107223
6709,"Autonomous Systems Engineer",3,103320
6905,"Autonomous Systems Engineer",3,129224
7149,"Autonomous Systems Engineer",3,87646
7336,"Autonomous Systems Engineer",3,101405
7776,"Autonomous Systems Engineer",3,63720
7858,"Autonomous Systems Engineer",3,108752
8413,"Autonomous Systems Engineer",3,48327
8830,"Autonomous Systems Engineer",3,51313
9481,"Autonomous Systems Engineer",3,77363
9864,"Autonomous Systems Engineer",3,69705
10027,"Autonomous Systems Engineer",3,60819
10095,"Autonomous Systems Engineer",3,87217
10668,"Autonomous Systems Engineer",3,106271
10850,"Autonomous Systems Engineer",3,57134
10986,"Autonomous Systems Engineer",3,110385
11056,"Autonomous Systems Engineer",3,64005
11229,"Autonomous Systems Engineer",3,104690
11590,"Autonomous Systems Engineer",3,55956
11729,"Autonomous Systems Engineer",3,118301
11897,"Autonomous Systems Engineer",3,66241
12090,"Autonomous Systems Engineer",3,136519
12616,"Autonomous Systems Engineer",3,107581
12752,"Autonomous Systems Engineer",3,52135
13048,"Autonomous Systems Engineer",3,89807
13158,"Autonomous Systems Engineer",3,70100
13290,"Autonomous Systems Engineer",3,86514
