id_cleaned,industry,job_title,years_experience,salary_usd
5941,Gaming,"Data Scientist",0,33839
8658,Gaming,"Principal Data Scientist",0,34073
14168,Gaming,"AI Software Engineer",0,36152
13873,Gaming,"AI Specialist",0,36575
1557,Gaming,"Computer Vision Engineer",0,37188
13808,Gaming,"Machine Learning Engineer",0,37520
10127,Gaming,"AI Specialist",0,38196
6064,Gaming,"AI Consultant",0,38282
2181,Gaming,"AI Architect",0,38864
11971,Gaming,"Data Scientist",0,38896
8687,Gaming,"AI Architect",0,38918
13561,Gaming,"AI Consultant",0,40636
10881,Gaming,"AI Architect",0,41157
730,Gaming,"AI Consultant",0,41326
10241,Gaming,"Machine Learning Researcher",0,42513
13170,Gaming,"NLP Engineer",0,42553
2100,Gaming,"Deep Learning Engineer",0,42742
10458,Gaming,"Machine Learning Researcher",0,43240
732,Gaming,"Data Analyst",0,43605
2277,Gaming,"Deep Learning Engineer",0,43719
4056,Gaming,"Principal Data Scientist",0,43831
1558,Gaming,"AI Software Engineer",0,44119
9798,Gaming,"Principal Data Scientist",0,44641
14367,Gaming,"Deep Learning Engineer",0,44673
7381,Gaming,"AI Research Scientist",0,45024
3259,Gaming,"Principal Data Scientist",0,45101
408,Gaming,"Principal Data Scientist",0,45147
213,Gaming,"Deep Learning Engineer",0,45429
8701,Gaming,"Head of AI",0,46463
12925,Gaming,"AI Product Manager",0,46698
13566,Gaming,"Autonomous Systems Engineer",0,46845
8305,Gaming,"Data Analyst",0,47052
295,Gaming,"Data Analyst",0,47958
9659,Gaming,"AI Specialist",0,48716
4766,Gaming,"AI Research Scientist",0,49041
14485,Gaming,"Research Scientist",0,49310
8184,Gaming,"Principal Data Scientist",0,49748
14332,Gaming,"Research Scientist",0,49760
117,Gaming,"ML Ops Engineer",0,50303
10859,Gaming,"NLP Engineer",0,50342
1938,Gaming,"AI Software Engineer",0,50962
6635,Gaming,"Machine Learning Engineer",0,51120
11482,Gaming,"AI Consultant",0,51608
1569,Gaming,"Computer Vision Engineer",0,51736
12825,Gaming,"AI Research Scientist",0,52341
10791,Gaming,"AI Product Manager",0,52904
9112,Gaming,"Robotics Engineer",0,52964
4469,Gaming,"AI Consultant",0,53796
14321,Gaming,"AI Software Engineer",0,54069
4170,Gaming,"Data Engineer",0,54304
3056,Gaming,"Machine Learning Engineer",0,54600
7905,Gaming,"Robotics Engineer",0,55168
5792,Gaming,"Robotics Engineer",0,55338
9115,Gaming,"NLP Engineer",0,57078
8011,Gaming,"Autonomous Systems Engineer",0,57246
2061,Gaming,"AI Consultant",0,57535
4271,Gaming,"Robotics Engineer",0,57994
14340,Gaming,"AI Architect",0,58189
4990,Gaming,"Autonomous Systems Engineer",0,58368
11819,Gaming,"AI Consultant",0,58643
11741,Gaming,"Robotics Engineer",0,58926
12759,Gaming,"Computer Vision Engineer",0,59346
258,Gaming,"Head of AI",0,59373
3615,Gaming,"Machine Learning Researcher",0,59470
13514,Gaming,"Data Engineer",0,60684
5531,Gaming,"Machine Learning Researcher",0,60955
13815,Gaming,"AI Product Manager",0,61352
3807,Gaming,"NLP Engineer",0,61507
7389,Gaming,"Deep Learning Engineer",0,61882
