id_cleaned,industry,job_title,years_experience,salary_usd
13338,Media,"Autonomous Systems Engineer",0,33376
7692,Media,"ML Ops Engineer",0,35504
144,Media,"Deep Learning Engineer",0,35593
4858,Media,"AI Specialist",0,36052
11557,Media,"Deep Learning Engineer",0,36624
12997,Media,"Autonomous Systems Engineer",0,37110
9561,Media,"NLP Engineer",0,37559
11671,Media,"Research Scientist",0,38141
13861,Media,"Data Analyst",0,38617
6248,Media,"AI Product Manager",0,38632
5229,Media,"Data Scientist",0,38873
1425,Media,"AI Software Engineer",0,39402
10562,Media,"AI Consultant",0,39515
3566,Media,"ML Ops Engineer",0,39741
7371,Media,"Data Engineer",0,40265
1742,Media,"Research Scientist",0,41596
7945,Media,"AI Specialist",0,41721
10775,Media,"AI Product Manager",0,42239
5008,Media,"Data Analyst",0,42509
12134,Media,"ML Ops Engineer",0,42773
132,Media,"AI Software Engineer",0,42835
2043,Media,"Data Scientist",0,43474
14163,Media,"Data Analyst",0,43952
12341,Media,"NLP Engineer",0,45067
12221,Media,"AI Consultant",0,45073
5616,Media,"Robotics Engineer",0,45567
1344,Media,"ML Ops Engineer",0,46095
4905,Media,"Computer Vision Engineer",0,46121
3908,Media,"Autonomous Systems Engineer",0,46457
2224,Media,"AI Product Manager",0,46937
1410,Media,"Head of AI",0,47057
6922,Media,"ML Ops Engineer",0,47244
4132,Media,"Head of AI",0,47273
14169,Media,"Machine Learning Engineer",0,47552
8612,Media,"Data Analyst",0,47646
14862,Media,"Research Scientist",0,47861
9154,Media,"Head of AI",0,47973
8191,Media,"NLP Engineer",0,48170
7734,Media,"Computer Vision Engineer",0,48743
13178,Media,"Machine Learning Researcher",0,48758
544,Media,"Research Scientist",0,49162
12656,Media,"Data Engineer",0,49213
8923,Media,"Research Scientist",0,49365
7926,Media,"NLP Engineer",0,49386
8916,Media,"Research Scientist",0,49518
468,Media,"AI Consultant",0,49641
12448,Media,"Head of AI",0,49710
905,Media,"Principal Data Scientist",0,50008
965,Media,"Autonomous Systems Engineer",0,50052
11080,Media,"Machine Learning Engineer",0,50395
1325,Media,"AI Specialist",0,51178
13991,Media,"Principal Data Scientist",0,51334
13925,Media,"Deep Learning Engineer",0,51864
8864,Media,"AI Research Scientist",0,52418
