id_cleaned,job_title,years_experience,salary_usd
8710,"Machine Learning Engineer",0,34286
10047,"Machine Learning Engineer",0,35159
546,"Machine Learning Engineer",0,35782
9927,"Machine Learning Engineer",0,35784
13114,"Machine Learning Engineer",0,36286
6648,"Machine Learning Engineer",0,37236
13808,"Machine Learning Engineer",0,37520
2583,"Machine Learning Engineer",0,38418
4000,"Machine Learning Engineer",0,40777
2418,"Machine Learning Engineer",0,40934
7353,"Machine Learning Engineer",0,41591
13283,"Machine Learning Engineer",0,41606
1023,"Machine Learning Engineer",0,43468
14302,"Machine Learning Engineer",0,43866
3277,"Machine Learning Engineer",0,44627
868,"Machine Learning Engineer",0,45330
550,"Machine Learning Engineer",0,46323
6145,"Machine Learning Engineer",0,46530
7516,"Machine Learning Engineer",0,46921
11946,"Machine Learning Engineer",0,47517
14169,"Machine Learning Engineer",0,47552
4342,"Machine Learning Engineer",0,47595
8204,"Machine Learning Engineer",0,47678
780,"Machine Learning Engineer",0,48427
9134,"Machine Learning Engineer",0,48788
11080,"Machine Learning Engineer",0,50395
6635,"Machine Learning Engineer",0,51120
11614,"Machine Learning Engineer",0,51455
8099,"Machine Learning Engineer",0,51758
3346,"Machine Learning Engineer",0,52192
9865,"Machine Learning Engineer",0,52317
14797,"Machine Learning Engineer",0,52337
14308,"Machine Learning Engineer",0,52428
3056,"Machine Learning Engineer",0,54600
12743,"Machine Learning Engineer",0,55764
4068,"Machine Learning Engineer",0,55862
1617,"Machine Learning Engineer",0,56533
4509,"Machine Learning Engineer",0,56785
4240,"Machine Learning Engineer",0,56994
11135,"Machine Learning Engineer",0,57743
3506,"Machine Learning Engineer",0,58218
5209,"Machine Learning Engineer",0,58260
8634,"Machine Learning Engineer",0,58771
5247,"Machine Learning Engineer",0,59081
1907,"Machine Learning Engineer",0,59376
10971,"Machine Learning Engineer",0,60204
58,"Machine Learning Engineer",0,60299
10659,"Machine Learning Engineer",0,61211
13215,"Machine Learning Engineer",0,62259
10684,"Machine Learning Engineer",0,63327
495,"Machine Learning Engineer",0,63395
12498,"Machine Learning Engineer",0,63767
12813,"Machine Learning Engineer",0,63838
500,"Machine Learning Engineer",0,63866
8380,"Machine Learning Engineer",0,64586
12992,"Machine Learning Engineer",0,65249
5715,"Machine Learning Engineer",0,66015
11311,"Machine Learning Engineer",0,66420
