id_cleaned,job_title,years_experience,salary_usd
344,"NLP Engineer",0,32587
8572,"ML Ops Engineer",0,33056
8710,"Machine Learning Engineer",0,34286
14438,"Deep Learning Engineer",0,34955
14888,"NLP Engineer",0,35069
2884,"Principal Data Scientist",0,35842
7363,"AI Software Engineer",0,36033
9232,"Data Analyst",0,36986
3841,"Computer Vision Engineer",0,38472
5183,"NLP Engineer",0,39721
8212,"ML Ops Engineer",0,40055
2036,"ML Ops Engineer",0,40697
11980,"Data Analyst",0,41634
8318,"AI Architect",0,42442
13320,"AI Research Scientist",0,42869
4295,"AI Specialist",0,43387
1023,"Machine Learning Engineer",0,43468
3011,"ML Ops Engineer",0,43907
3400,"Head of AI",0,44319
2471,"ML Ops Engineer",0,44413
7429,"Data Analyst",0,44718
9147,"AI Research Scientist",0,44891
1824,"NLP Engineer",0,45303
14949,"Robotics Engineer",0,45377
2134,"Data Analyst",0,45763
12204,"AI Architect",0,46467
5890,"ML Ops Engineer",0,46645
10253,"Head of AI",0,46799
4004,"Autonomous Systems Engineer",0,46943
13571,"Autonomous Systems Engineer",0,47117
11377,"AI Specialist",0,47253
1859,"AI Research Scientist",0,48152
14633,"Principal Data Scientist",0,48487
3339,"Deep Learning Engineer",0,48855
4768,"AI Research Scientist",0,48884
4774,"AI Research Scientist",0,49354
14029,"Autonomous Systems Engineer",0,50393
7925,"Principal Data Scientist",0,50808
1645,"AI Consultant",0,51215
8466,"AI Specialist",0,51543
11812,"Principal Data Scientist",0,51738
1951,"Data Analyst",0,52005
1482,"Autonomous Systems Engineer",0,52752
3038,"AI Product Manager",0,54123
11685,"Robotics Engineer",0,54380
1657,"Data Engineer",0,54678
7448,"AI Research Scientist",0,55162
3972,"AI Specialist",0,55165
5925,"AI Product Manager",0,55277
5302,"AI Research Scientist",0,55595
8816,"Research Scientist",0,55754
6261,"Robotics Engineer",0,55969
7792,"Principal Data Scientist",0,56050
8161,"AI Research Scientist",0,56088
4568,"NLP Engineer",0,56096
1617,"Machine Learning Engineer",0,56533
6639,"AI Research Scientist",0,56721
4509,"Machine Learning Engineer",0,56785
2098,"AI Research Scientist",0,56957
7290,"Autonomous Systems Engineer",0,57467
10198,"ML Ops Engineer",0,57859
13847,"Machine Learning Researcher",0,58728
13271,"Autonomous Systems Engineer",0,58865
10602,"ML Ops Engineer",0,59047
367,"AI Software Engineer",0,59378
11253,"Research Scientist",0,60157
10112,"AI Architect",0,61176
2183,"Computer Vision Engineer",0,61490
9035,"Autonomous Systems Engineer",0,61638
5169,"AI Product Manager",0,62916
10727,"Principal Data Scientist",0,63341
12781,"AI Consultant",0,64689
5755,"AI Product Manager",0,64771
3500,"Data Analyst",0,64985
841,"Computer Vision Engineer",0,65988
10638,"AI Architect",0,66736
9541,"Computer Vision Engineer",0,67600
8016,"Data Analyst",0,67801
13303,"AI Research Scientist",0,68049
7843,"AI Consultant",0,68167
1979,"Deep Learning Engineer",0,68513
6348,"Machine Learning Researcher",0,69492
3026,"Computer Vision Engineer",0,69497
3826,"NLP Engineer",0,69700
7801,"AI Product Manager",0,70157
13967,"AI Software Engineer",0,71243
10117,"Data Engineer",0,71386
6955,"Head of AI",0,71615
8917,"ML Ops Engineer",0,72915
13162,"AI Software Engineer",0,72972
12397,"Data Engineer",0,73105
6079,"Deep Learning Engineer",0,74173
6170,"Principal Data Scientist",0,74551
14751,"AI Consultant",0,74830
3124,"Data Engineer",0,74951
12443,"AI Software Engineer",0,75344
8912,"AI Research Scientist",0,75646
8007,"Data Analyst",0,75689
1295,"Data Analyst",0,75890
2324,"Data Scientist",0,76061
5910,"AI Consultant",0,76333
6932,"Data Engineer",0,76845
11859,"AI Product Manager",0,77417
12626,"AI Specialist",0,77526
11991,"Autonomous Systems Engineer",0,77633
8430,"Computer Vision Engineer",0,77967
90,"AI Software Engineer",0,78014
12360,"Data Engineer",0,78924
2232,"Head of AI",0,79228
6804,"Research Scientist",0,80147
1070,"ML Ops Engineer",0,80426
5092,"Research Scientist",0,82530
8655,"Machine Learning Researcher",0,82719
13260,"Principal Data Scientist",0,83746
2139,"AI Software Engineer",0,83867
10128,"Principal Data Scientist",0,85618
13041,"Principal Data Scientist",0,87334
9216,"AI Research Scientist",0,89567
12511,"Computer Vision Engineer",0,91024
14654,"Deep Learning Engineer",0,96171
853,"Principal Data Scientist",0,96311
2864,"NLP Engineer",0,96624
10193,"Computer Vision Engineer",0,99757
2597,"AI Architect",0,99823
12343,"Deep Learning Engineer",0,107603
4565,"AI Consultant",0,108685
537,"AI Specialist",0,108886
6412,"Machine Learning Researcher",0,111230
1379,"Data Scientist",0,111672
6173,"Robotics Engineer",0,128677
8691,"Autonomous Systems Engineer",1,32790
14045,"Computer Vision Engineer",1,33117
3869,"Data Scientist",1,33581
1036,"Data Scientist",1,35049
9332,"AI Architect",1,35530
8910,"Head of AI",1,37940
10430,"Principal Data Scientist",1,38105
14968,"AI Research Scientist",1,38270
11930,"AI Software Engineer",1,38852
6567,"AI Specialist",1,40032
12930,"Data Scientist",1,40936
9391,"Robotics Engineer",1,41890
6199,"Machine Learning Engineer",1,42288
5619,"Machine Learning Engineer",1,42821
12192,"NLP Engineer",1,42865
10917,"AI Consultant",1,43103
6008,"Machine Learning Researcher",1,43166
2838,"AI Architect",1,43447
13580,"AI Consultant",1,43884
7670,"ML Ops Engineer",1,43967
4081,"Data Scientist",1,44064
11582,"Deep Learning Engineer",1,44460
14971,"AI Software Engineer",1,44789
10170,"Machine Learning Researcher",1,45514
381,"AI Product Manager",1,45830
6204,"AI Specialist",1,45881
8539,"AI Consultant",1,46038
339,"Autonomous Systems Engineer",1,46591
14479,"Research Scientist",1,47007
8137,"Data Engineer",1,47095
1619,"Data Scientist",1,47232
4029,"AI Research Scientist",1,47458
10756,"Data Analyst",1,47461
4941,"Robotics Engineer",1,47603
4567,"Research Scientist",1,48867
1043,"Head of AI",1,49223
956,"NLP Engineer",1,49496
9169,"ML Ops Engineer",1,50568
14599,"Data Analyst",1,50576
8794,"Data Scientist",1,50934
14376,"NLP Engineer",1,51336
11714,"AI Research Scientist",1,52942
1720,"Research Scientist",1,53572
12482,"Research Scientist",1,54152
3925,"Autonomous Systems Engineer",1,54649
9981,"Deep Learning Engineer",1,54732
3909,"AI Specialist",1,55982
10116,"AI Specialist",1,56424
13642,"AI Research Scientist",1,57889
14205,"Data Scientist",1,58617
5228,"Research Scientist",1,58950
7194,"AI Software Engineer",1,59191
8564,"AI Consultant",1,59391
4980,"Research Scientist",1,59483
17,"Principal Data Scientist",1,59823
12389,"Deep Learning Engineer",1,59864
10581,"AI Software Engineer",1,60005
8216,"Computer Vision Engineer",1,60069
415,"Robotics Engineer",1,60440
1700,"AI Product Manager",1,60749
10388,"Head of AI",1,61320
12599,"Data Analyst",1,61974
13717,"Deep Learning Engineer",1,62853
5451,"Data Analyst",1,62980
363,"Computer Vision Engineer",1,63231
1231,"Data Engineer",1,63771
4446,"AI Software Engineer",1,63879
11009,"Data Analyst",1,64531
8738,"AI Architect",1,65219
7949,"Head of AI",1,65332
14707,"Deep Learning Engineer",1,65889
13946,"AI Software Engineer",1,66909
6953,"AI Software Engineer",1,66925
2354,"ML Ops Engineer",1,67292
7306,"Data Analyst",1,67967
10541,"Machine Learning Researcher",1,68166
10392,"AI Specialist",1,68380
13858,"Deep Learning Engineer",1,68574
32,"Research Scientist",1,68624
3180,"Data Scientist",1,68687
14458,"AI Consultant",1,68843
6251,"AI Product Manager",1,68921
4120,"AI Consultant",1,69660
3889,"NLP Engineer",1,71476
7596,"Robotics Engineer",1,71993
5492,"NLP Engineer",1,72579
11957,"ML Ops Engineer",1,72631
13074,"Data Analyst",1,73990
6753,"AI Consultant",1,74333
14467,"Data Engineer",1,74833
2885,"AI Architect",1,74974
5367,"Machine Learning Researcher",1,74991
8433,"Data Scientist",1,75768
10598,"AI Consultant",1,75921
6738,"Principal Data Scientist",1,76031
10805,"Machine Learning Researcher",1,76143
11060,"Deep Learning Engineer",1,76154
6101,"Research Scientist",1,77542
14228,"NLP Engineer",1,78127
14999,"Head of AI",1,79461
7830,"Research Scientist",1,79577
14178,"Research Scientist",1,79699
11989,"NLP Engineer",1,79956
5044,"Deep Learning Engineer",1,80349
10399,"Head of AI",1,81920
10717,"Autonomous Systems Engineer",1,82237
8116,"Data Analyst",1,82435
12172,"Deep Learning Engineer",1,84053
11745,"ML Ops Engineer",1,85416
7814,"Research Scientist",1,86371
9418,"Robotics Engineer",1,87669
13629,"Machine Learning Engineer",1,89550
6396,"Data Engineer",1,89555
9844,"AI Product Manager",1,92787
10725,"Computer Vision Engineer",1,93219
4121,"Robotics Engineer",1,93554
4453,"Robotics Engineer",1,93716
14575,"Data Analyst",1,94867
220,"Computer Vision Engineer",1,94894
13299,"NLP Engineer",1,96162
9195,"AI Architect",1,97531
591,"AI Product Manager",1,106583
3089,"Head of AI",1,109159
2141,"Deep Learning Engineer",1,109754
5710,"Computer Vision Engineer",1,110626
10680,"ML Ops Engineer",2,47908
6115,"Machine Learning Researcher",2,51092
6760,"Autonomous Systems Engineer",2,52222
14858,"Computer Vision Engineer",2,52845
4378,"Deep Learning Engineer",2,52847
12438,"AI Product Manager",2,53687
9098,"AI Product Manager",2,54095
5143,"AI Product Manager",2,57284
8271,"AI Research Scientist",2,58345
14923,"AI Software Engineer",2,59649
2984,"AI Consultant",2,61270
5339,"Robotics Engineer",2,61334
4407,"NLP Engineer",2,62881
8210,"Data Scientist",2,63522
6774,"Robotics Engineer",2,64266
7010,"Machine Learning Researcher",2,64883
9139,"Deep Learning Engineer",2,65764
6270,"Principal Data Scientist",2,68998
1256,"Research Scientist",2,69399
10398,"Computer Vision Engineer",2,69602
13542,"Machine Learning Researcher",2,70154
7889,"AI Architect",2,70498
13202,"Data Analyst",2,71696
13335,"AI Architect",2,71854
2115,"AI Product Manager",2,73138
8522,"AI Architect",2,75293
5788,"AI Architect",2,75357
13264,"AI Software Engineer",2,75603
2580,"AI Specialist",2,76208
11005,"Head of AI",2,76598
8753,"Machine Learning Researcher",2,76969
8675,"Data Scientist",2,77419
5750,"Computer Vision Engineer",2,78962
5909,"Head of AI",2,79814
8482,"AI Product Manager",2,81309
3741,"Data Analyst",2,81394
5016,"Machine Learning Researcher",2,81867
14341,"Machine Learning Engineer",2,83668
7506,"Data Scientist",2,83823
7343,"Computer Vision Engineer",2,83989
3004,"AI Specialist",2,84035
6879,"Computer Vision Engineer",2,84302
12355,"AI Consultant",2,85157
9955,"Machine Learning Researcher",2,85163
6597,"Principal Data Scientist",2,85714
14201,"AI Software Engineer",2,85786
4694,"Research Scientist",2,86198
10155,"Deep Learning Engineer",2,86374
4670,"Data Analyst",2,86915
12881,"AI Consultant",2,88210
1831,"Data Analyst",2,88938
7845,"Data Scientist",2,89157
8278,"AI Architect",2,89764
13600,"Autonomous Systems Engineer",2,89940
2408,"Data Scientist",2,90678
9040,"AI Consultant",2,94676
10912,"Autonomous Systems Engineer",2,95117
6427,"AI Software Engineer",2,95291
13842,"Research Scientist",2,99387
9459,"Research Scientist",2,99506
11380,"Computer Vision Engineer",2,100739
8471,"Research Scientist",2,101291
10704,"Machine Learning Researcher",2,103605
5915,"Data Scientist",2,106426
12446,"Data Scientist",2,107009
2004,"Data Scientist",2,107125
6480,"Autonomous Systems Engineer",2,107304
1526,"Data Engineer",2,107552
11247,"Data Engineer",2,108529
2527,"Machine Learning Engineer",2,108846
12607,"Data Analyst",2,109075
12148,"AI Software Engineer",2,110032
11521,"AI Product Manager",2,111607
4837,"AI Software Engineer",2,111722
6688,"Research Scientist",2,111828
7305,"AI Specialist",2,112395
8800,"Head of AI",2,113445
824,"Head of AI",2,113684
9549,"AI Consultant",2,113790
836,"Deep Learning Engineer",2,114323
11461,"Machine Learning Engineer",2,114693
4943,"Machine Learning Researcher",2,115528
8250,"Research Scientist",2,115732
11064,"ML Ops Engineer",2,121131
13042,"AI Consultant",2,121847
14122,"AI Software Engineer",2,123183
10883,"Autonomous Systems Engineer",2,123876
4076,"NLP Engineer",2,124660
12382,"Deep Learning Engineer",2,128257
3661,"Autonomous Systems Engineer",2,133001
4661,"Autonomous Systems Engineer",2,142635
11505,"AI Architect",2,155306
2830,"Research Scientist",2,156540
5663,"Data Scientist",2,167295
5575,"Research Scientist",3,50957
8703,"AI Specialist",3,51405
11466,"AI Software Engineer",3,52501
4133,"Data Analyst",3,53775
2999,"Machine Learning Researcher",3,54628
13680,"Data Analyst",3,54917
10447,"AI Software Engineer",3,55174
4939,"Head of AI",3,55954
9824,"AI Software Engineer",3,56207
1550,"Machine Learning Engineer",3,57574
7872,"Machine Learning Researcher",3,57661
6414,"ML Ops Engineer",3,58585
845,"AI Architect",3,59833
13944,"Data Analyst",3,60250
1234,"AI Consultant",3,60252
9153,"AI Specialist",3,62110
6799,"ML Ops Engineer",3,62124
12913,"AI Consultant",3,62686
1874,"AI Architect",3,63533
7033,"NLP Engineer",3,63638
5539,"Principal Data Scientist",3,63709
9281,"AI Specialist",3,64300
3591,"AI Software Engineer",3,64398
1525,"Data Analyst",3,65071
7508,"Deep Learning Engineer",3,65254
5182,"Machine Learning Researcher",3,65662
6959,"AI Software Engineer",3,66890
11902,"Robotics Engineer",3,69271
7193,"Robotics Engineer",3,70173
13609,"Head of AI",3,71867
10420,"Machine Learning Engineer",3,73958
3452,"AI Architect",3,74008
4677,"AI Architect",3,74388
11528,"Head of AI",3,75681
4800,"AI Specialist",3,76236
10505,"Deep Learning Engineer",3,78675
14625,"Research Scientist",3,79583
1457,"Autonomous Systems Engineer",3,79810
13203,"Research Scientist",3,80127
11290,"ML Ops Engineer",3,80569
1519,"Autonomous Systems Engineer",3,81157
13389,"NLP Engineer",3,82410
11514,"Research Scientist",3,82737
11209,"AI Research Scientist",3,82885
3539,"Principal Data Scientist",3,82895
2689,"AI Architect",3,85176
5877,"Data Scientist",3,85641
839,"Computer Vision Engineer",3,86315
7570,"Robotics Engineer",3,86592
56,"AI Architect",3,88470
12784,"AI Specialist",3,88475
12748,"Computer Vision Engineer",3,88489
8749,"NLP Engineer",3,89476
612,"Machine Learning Engineer",3,90291
5868,"ML Ops Engineer",3,90928
9008,"Machine Learning Researcher",3,92066
8653,"Robotics Engineer",3,92078
7969,"Deep Learning Engineer",3,92574
4955,"AI Research Scientist",3,92743
104,"Computer Vision Engineer",3,92875
14955,"Principal Data Scientist",3,95139
4660,"Computer Vision Engineer",3,97486
4971,"Computer Vision Engineer",3,97505
3382,"Principal Data Scientist",3,98999
9983,"AI Consultant",3,100703
12846,"AI Product Manager",3,102582
9017,"Principal Data Scientist",3,103073
676,"Research Scientist",3,103963
4145,"AI Consultant",3,105128
3655,"Autonomous Systems Engineer",3,105443
11924,"AI Product Manager",3,105730
13622,"AI Product Manager",3,107397
12616,"Autonomous Systems Engineer",3,107581
5687,"AI Specialist",3,109718
4231,"AI Product Manager",3,110968
94,"AI Research Scientist",3,111528
10978,"AI Architect",3,112398
9363,"AI Consultant",3,117037
3588,"Data Engineer",3,117991
2983,"Principal Data Scientist",3,123126
73,"Machine Learning Researcher",3,124820
14872,"Machine Learning Engineer",3,125684
2089,"Data Scientist",3,126696
3511,"Machine Learning Engineer",3,128145
1200,"AI Research Scientist",3,134864
2681,"Data Analyst",3,139073
3918,"Principal Data Scientist",3,153629
7444,"Data Engineer",4,49653
7416,"Machine Learning Engineer",4,49686
9667,"Principal Data Scientist",4,50533
12294,"Machine Learning Researcher",4,51570
13151,"Data Engineer",4,52112
10729,"Data Analyst",4,57556
5922,"AI Specialist",4,60003
8605,"Computer Vision Engineer",4,60857
315,"Head of AI",4,60957
6674,"Machine Learning Researcher",4,61716
2957,"AI Consultant",4,62629
6417,"AI Consultant",4,63306
14839,"Data Analyst",4,63547
14299,"Research Scientist",4,63771
14450,"NLP Engineer",4,64590
11455,"ML Ops Engineer",4,66086
13149,"Robotics Engineer",4,66412
14614,"AI Specialist",4,66443
4707,"Autonomous Systems Engineer",4,66670
1842,"Machine Learning Researcher",4,67132
11351,"Autonomous Systems Engineer",4,67415
3683,"Robotics Engineer",4,67930
