ID_cleaned,job_title,salary_usd,salary_distribution_usd,experience_level_cleaned,employment_type_cleaned,company_location,company_size_cleaned,employee_residence,education_required,years_experience,industry
1,AI Research Scientist,90376,"80,000 - 100,000 USD",Senior,Contract,China,Medium,China,Bachelor,9,Automotive
2,AI Software Engineer,61895,"60,000 - 80,000 USD",Entry-level,Contract,Canada,Medium,Ireland,Master,1,Media
3,AI Specialist,152626,"140,000 - 160,000 USD",Mid-level,Freelance,Switzerland,Large,South Korea,Associate,2,Education
4,NLP Engineer,80215,"80,000 - 100,000 USD",Senior,Freelance,India,Medium,India,PhD,7,Consulting
5,AI Consultant,54624,"40,000 - 60,000 USD",Entry-level,Part-Time,France,Small,Singapore,Master,0,Media
6,AI Architect,123574,"120,000 - 140,000 USD",Senior,Contract,Germany,Medium,Germany,Associate,7,Healthcare
7,Principal Data Scientist,79670,"60,000 - 80,000 USD",Mid-level,Freelance,United Kingdom,Small,United Kingdom,Associate,3,Gaming
8,NLP Engineer,70640,"60,000 - 80,000 USD",Entry-level,Freelance,France,Large,France,Master,0,Healthcare
9,Data Analyst,160710,"160,000 - 180,000 USD",Senior,Contract,Singapore,Large,Singapore,PhD,7,Government
10,AI Software Engineer,102557,"100,000 - 120,000 USD",Senior,Part-Time,Austria,Medium,Austria,Master,5,Government
11,Autonomous Systems Engineer,102322,"100,000 - 120,000 USD",Senior,Part-Time,Sweden,Medium,Sweden,Associate,8,Telecommunications
12,AI Architect,115047,"100,000 - 120,000 USD",Executive,Contract,South Korea,Small,South Korea,Master,15,Manufacturing
13,AI Consultant,124355,"120,000 - 140,000 USD",Senior,Contract,France,Medium,France,PhD,5,Automotive
14,Autonomous Systems Engineer,68760,"60,000 - 80,000 USD",Entry-level,Contract,Norway,Small,Norway,Master,0,Energy
15,AI Research Scientist,150122,"140,000 - 160,000 USD",Senior,Full-Time,Sweden,Medium,Sweden,Associate,6,Technology
16,AI Product Manager,78846,"60,000 - 80,000 USD",Entry-level,Part-Time,United Kingdom,Large,Israel,PhD,0,Consulting
17,Principal Data Scientist,59823,"40,000 - 60,000 USD",Entry-level,Full-Time,India,Large,India,Bachelor,1,Real Estate
18,Machine Learning Engineer,181139,"More than 180,000 USD",Executive,Contract,France,Large,France,Associate,15,Real Estate
19,Data Engineer,155300,"140,000 - 160,000 USD",Senior,Contract,Singapore,Medium,Singapore,Associate,9,Finance
20,Research Scientist,93851,"80,000 - 100,000 USD",Mid-level,Part-Time,Netherlands,Large,Germany,PhD,4,Transportation
21,Data Engineer,134197,"120,000 - 140,000 USD",Mid-level,Full-Time,Norway,Medium,France,Bachelor,3,Telecommunications
22,Autonomous Systems Engineer,102550,"100,000 - 120,000 USD",Mid-level,Part-Time,United States,Medium,United States,Bachelor,2,Automotive
23,ML Ops Engineer,99382,"80,000 - 100,000 USD",Senior,Contract,Germany,Small,Germany,PhD,7,Automotive
24,AI Product Manager,52167,"40,000 - 60,000 USD",Mid-level,Full-Time,Austria,Medium,Ireland,Master,4,Telecommunications
25,ML Ops Engineer,53923,"40,000 - 60,000 USD",Mid-level,Full-Time,China,Small,China,Bachelor,2,Healthcare
26,Robotics Engineer,109779,"100,000 - 120,000 USD",Senior,Part-Time,Israel,Large,Israel,PhD,6,Government
27,ML Ops Engineer,80979,"80,000 - 100,000 USD",Mid-level,Contract,Australia,Small,India,Master,2,Media
28,Data Analyst,52997,"40,000 - 60,000 USD",Mid-level,Part-Time,Austria,Medium,Singapore,PhD,2,Government
29,Head of AI,42819,"40,000 - 60,000 USD",Entry-level,Contract,Ireland,Medium,Ireland,PhD,0,Healthcare
30,ML Ops Engineer,82083,"80,000 - 100,000 USD",Mid-level,Contract,Israel,Large,Israel,Master,2,Retail
31,Head of AI,67488,"60,000 - 80,000 USD",Entry-level,Full-Time,Netherlands,Medium,Netherlands,Master,1,Retail
32,Research Scientist,68624,"60,000 - 80,000 USD",Entry-level,Full-Time,Denmark,Medium,Denmark,Master,1,Real Estate
