ID_cleaned,is_AWS_required_skills,is_Azure_required_skills,is_Docker_required_skills,is_GCP_required_skills,is_git_required_skills,is_Hadoop_required_skills,is_Java_required_skills,is_Kubernetes_required_skills,is_MLOps_required_skills,is_MLP_required_skills,is_PyTorch_required_skills,is_Python_required_skills,is_R_required_skills,is_SQL_required_skills,is_Scala_required_skills,is_Pyspark_required_skills,is_Tableau_required_skills,is_TensorFlow_required_skills
1,,,,,,,,Kubernetes,,MLP,PyTorch,,,,,,Tableau,
2,AWS,,Docker,,,,,,,,,Python,,,,,,
3,,,,,,Hadoop,Java,Kubernetes,,MLP,,,,,,,,
4,,,,,,,,,,,,Python,,SQL,Scala,,,
5,,,,,,,Java,,MLOps,,,Python,,,,,Tableau,
6,,,,,,,,,,,,,R,SQL,,,,
7,,,Docker,,,,,,MLOps,,,,R,,,,,
8,,Azure,,,,,Java,,,,,Python,,SQL,,,,
9,,,,,Git,Hadoop,,,,,,Python,,,,,,
10,,Azure,,GCP,,,,,MLOps,,,,,,Scala,,,
11,,,,,,,,,MLOps,,,Python,,SQL,,,,
12,,Azure,,,,,,,,,,Python,R,,,,,
13,,,,,,,,,,,,Python,,,,,Tableau,TensorFlow
14,,,,,,,,,,,,,,SQL,Scala,,,
15,,,,GCP,,,,,,,PyTorch,Python,,,,,,
16,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,MLP,,,,,,PySpark,Tableau,
18,,Azure,,,,,,,MLOps,,PyTorch,,,,,,,
19,,,,,Git,Hadoop,,,,,,Python,R,,,PySpark,,
20,,,Docker,,,,Java,,,MLP,,,,,Scala,,,
21,AWS,Azure,,,,,,,,,,,,,,,,
22,,,,,,,,,,MLP,PyTorch,,,,,PySpark,Tableau,TensorFlow
23,,,,,Git,Hadoop,,,,,,,,,,,Tableau,
24,,,Docker,,Git,Hadoop,,,,,,,,,,,,
25,,Azure,,,Git,,,,,,,,,SQL,,,,
26,,,,,Git,,,Kubernetes,,,,,,,,,Tableau,
27,,,,,Git,Hadoop,,,,,,,,,Scala,,,
28,,,,,,,,Kubernetes,,,PyTorch,,,,,,Tableau,TensorFlow
29,,,,,Git,,,,,MLP,,Python,,,Scala,,,
