ID_cleaned,job_id,job_title,salary_usd,salary_distribution_usd,salary_currency,experience_level,experience_level_cleaned,employment_type,employment_type_cleaned,company_location,company_size,company_size_cleaned,employee_residence,remote_ratio,required_skills,is_AWS_required_skills,is_Azure_required_skills,is_Docker_required_skills,is_GCP_required_skills,is_github_required_skills,is_Hadoop_required_skills,is_Java_required_skills,is_Kubernetes_required_skills,is_MLOps_required_skills,is_NLP_required_skills,is_PyTorch_required_skills,is_Python_required_skills,is_R_required_skills,is_SQL_required_skills,is_Scala_required_skills,is_Pyspark_required_skills,is_Tableau_required_skills,is_TensorFlow_required_skills,education_required,years_experience,industry,posting_date,application_deadline,application_period_days,job_description_length,benefits_score,company_name
1,AI00001,AI Research Scientist,90376,"80,000 - 100,000 USD",USD,SE,Senior,CT,Contract,China,M,Medium,China,50,"Tableau, PyTorch, Kubernetes, Linux, NLP",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,Bachelor,9,Automotive,10/18/2024,11/7/2024,20,1076,5.9,Smart Analytics
2,AI00002,AI Software Engineer,61895,"60,000 - 80,000 USD",USD,EN,Entry-level,CT,Contract,Canada,M,Medium,Ireland,100,"Deep Learning, AWS, Mathematics, Python, Docker",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Master,1,Media,11/20/2024,1/11/2025,52,1268,5.2,TechCorp Inc
3,AI00003,AI Specialist,152626,"140,000 - 160,000 USD",USD,MI,Mid-level,FL,Freelance,Switzerland,L,Large,South Korea,0,"Kubernetes, Deep Learning, Java, Hadoop, NLP",0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,Associate,2,Education,3/18/2025,4/7/2025,20,1974,9.4,Autonomous Tech
4,AI00004,NLP Engineer,80215,"80,000 - 100,000 USD",USD,SE,Senior,FL,Freelance,India,M,Medium,India,50,"Scala, SQL, Linux, Python",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,PhD,7,Consulting,12/23/2024,2/24/2025,63,1345,8.6,Future Systems
5,AI00005,AI Consultant,54624,"40,000 - 60,000 USD",EUR,EN,Entry-level,PT,Part-Time,France,S,Small,Singapore,100,"MLOps, Java, Tableau, Python",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,Master,0,Media,4/15/2025,6/23/2025,69,1989,6.6,Advanced Robotics
6,AI00006,AI Architect,123574,"120,000 - 140,000 USD",EUR,SE,Senior,CT,Contract,Germany,M,Medium,Germany,50,"Data Visualization, R, SQL, Linux",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Associate,7,Healthcare,8/31/2024,10/4/2024,34,819,5.9,Neural Networks Co
7,AI00007,Principal Data Scientist,79670,"60,000 - 80,000 USD",GBP,MI,Mid-level,FL,Freelance,United Kingdom,S,Small,United Kingdom,0,"R, Docker, MLOps",0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Associate,3,Gaming,12/29/2024,2/28/2025,61,1936,6.3,DataVision Ltd
8,AI00008,NLP Engineer,70640,"60,000 - 80,000 USD",EUR,EN,Entry-level,FL,Freelance,France,L,Large,France,0,"Python, SQL, Computer Vision, Java, Azure",0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,Master,0,Healthcare,6/7/2024,7/1/2024,24,1286,7.6,Cloud AI Solutions
9,AI00009,Data Analyst,160710,"160,000 - 180,000 USD",USD,SE,Senior,CT,Contract,Singapore,L,Large,Singapore,0,"Hadoop, Git, Mathematics, Python",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,PhD,7,Government,11/4/2024,11/24/2024,20,551,9.3,Quantum Computing Inc
10,AI00010,AI Software Engineer,102557,"100,000 - 120,000 USD",USD,SE,Senior,PT,Part-Time,Austria,M,Medium,Austria,0,"MLOps, GCP, Scala, Azure, Linux",0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Master,5,Government,10/20/2024,11/6/2024,17,2340,5.8,Cloud AI Solutions
