ID_cleaned,AWS,Azure,Docker,GCP,Git,Hadoop,Java,Kubernetes,MLOps,MLP,PyTorch,Python,R,SQL,Scala,PySpark,Tableau,Tensorflow
1,,,,,,,,90376,,90376,90376,,,,,,90376,
2,61895,,61895,,,,,,,,,61895,,,,,,
3,,,,,,152626,152626,152626,,152626,,,,,,,,
4,,,,,,,,,,,,80215,,80215,80215,,,
5,,,,,,,54624,,54624,,,54624,,,,,54624,
6,,,,,,,,,,,,,123574,123574,,,,
7,,,79670,,,,,,79670,,,,79670,,,,,
8,,70640,,,,,70640,,,,,70640,,70640,,,,
9,,,,,160710,160710,,,,,,160710,,,,,,
10,,102557,,102557,,,,,102557,,,,,,102557,,,
11,,,,,,,,,102322,,,102322,,102322,,,,
12,,115047,,,,,,,,,,115047,115047,,,,,
13,,,,,,,,,,,,124355,,,,,124355,124355
14,,,,,,,,,,,,,,68760,68760,,,
15,,,,150122,,,,,,,150122,150122,,,,,,
16,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,59823,,,,,,59823,59823,
18,,181139,,,,,,,181139,,181139,,,,,,,
19,,,,,155300,155300,,,,,,155300,155300,,,155300,,
20,,,93851,,,,93851,,,93851,,,,,93851,,,
21,134197,134197,,,,,,,,,,,,,,,,
22,,,,,,,,,,102550,102550,,,,,102550,102550,102550
23,,,,,99382,99382,,,,,,,,,,,99382,
24,,,52167,,52167,52167,,,,,,,,,,,,
25,,53923,,,53923,,,,,,,,,53923,,,,
26,,,,,109779,,,109779,,,,,,,,,109779,
27,,,,,80979,80979,,,,,,,,,80979,,,
28,,,,,,,,52997,,,52997,,,,,,52997,52997
29,,,,,42819,,,,,42819,,42819,,,42819,,,
30,,82083,,,,,,82083,,,,82083,,,,,,82083
31,67488,,,67488,,,,,,,,,,,,,67488,
32,,68624,,,,,,,,,,68624,,,,68624,,
33,,,,,,,,,,146852,,146852,,,146852,,,
34,,178183,,178183,,,,,,,,178183,,,,,178183,
35,,,,150864,,,,,150864,,,,150864,,,,,
36,,,,,126942,126942,,,,,,,,,,,,
37,53752,,,,,,,,,,,53752,,,,,53752,
38,,,,,,,,,,,111381,,,111381,,,,
39,,,41430,41430,,,,,,,,,,,,,41430,
40,,166080,,,,,,,,,,,,,,,166080,
41,,96956,,,,,,,96956,,,,,,,96956,,
42,,,,,,,196954,,,,,,,196954,,,,
43,,,,56745,,,,,,,,,,,,56745,,
44,,113455,113455,,,113455,,,,,,113455,,,,,,
