ID_cleaned,skill_name,salary_usd
1,AWS,61895
20,AWS,134197
30,AWS,67488
36,AWS,53752
49,AWS,124871
54,AWS,67607
59,AWS,110222
65,AWS,87938
98,AWS,290199
101,AWS,138466
110,AWS,205357
115,AWS,61055
117,AWS,65570
123,AWS,182275
139,AWS,122598
159,AWS,190314
163,AWS,115191
166,AWS,125152
169,AWS,145355
180,AWS,51907
190,AWS,95796
200,AWS,56585
213,AWS,62262
218,AWS,53960
230,AWS,87011
262,AWS,67824
264,AWS,122796
272,AWS,97840
288,AWS,167401
293,AWS,222223
296,AWS,138782
304,AWS,63711
306,AWS,223296
321,AWS,112035
334,AWS,193149
336,AWS,145098
341,AWS,58899
344,AWS,102069
345,AWS,153376
347,AWS,92858
363,AWS,96419
377,AWS,66990
404,AWS,229855
416,AWS,298418
419,AWS,69827
433,AWS,191741
436,AWS,117568
439,AWS,94044
447,AWS,84808
448,AWS,153304
462,AWS,69936
469,AWS,48516
479,AWS,101933
521,AWS,48920
541,AWS,237637
542,AWS,59160
544,AWS,83663
560,AWS,105668
563,AWS,70084
564,AWS,69418
571,AWS,313205
589,AWS,162476
604,AWS,146023
616,AWS,101235
634,AWS,176838
636,AWS,92317
656,AWS,142309
692,AWS,221809
694,AWS,107828
695,AWS,101302
703,AWS,63073
718,AWS,107490
725,AWS,98449
726,AWS,84501
732,AWS,237830
739,AWS,95469
743,AWS,128378
744,AWS,88058
787,AWS,56723
795,AWS,132334
820,AWS,135830
841,AWS,200761
843,AWS,54146
846,AWS,32926
860,AWS,104278
865,AWS,74676
867,AWS,45330
871,AWS,54120
881,AWS,40770
882,AWS,94589
894,AWS,154496
904,AWS,50008
905,AWS,133327
913,AWS,73640
914,AWS,165792
923,AWS,152753
931,AWS,84494
944,AWS,215545
946,AWS,178695
964,AWS,50052
970,AWS,206831
971,AWS,260674
978,AWS,156933
988,AWS,203407
991,AWS,50135
997,AWS,172307
1004,AWS,68130
1005,AWS,135359
1013,AWS,62406
1031,AWS,102169
1073,AWS,85510
1085,AWS,306862
1095,AWS,47668
1096,AWS,156235
1124,AWS,57477
1126,AWS,126827
1130,AWS,66901
1138,AWS,122018
1168,AWS,88462
1183,AWS,71698
1188,AWS,94388
1191,AWS,134769
1210,AWS,90597
1215,AWS,54500
1235,AWS,47185
1246,AWS,270901
1278,AWS,87042
1280,AWS,175743
1291,AWS,90189
1310,AWS,104220
1316,AWS,168134
1348,AWS,79684
1368,AWS,86969
1374,AWS,103040
1383,AWS,47244
1384,AWS,73307
1401,AWS,69013
1420,AWS,44236
1440,AWS,86657
1450,AWS,118220
1462,AWS,305068
1465,AWS,43539
1476,AWS,83330
1481,AWS,52752
1482,AWS,123371
1487,AWS,84673
1494,AWS,270468
1515,AWS,172076
1516,AWS,171699
1537,AWS,164285
1545,AWS,108379
1598,AWS,253997
1603,AWS,122846
1610,AWS,114320
1618,AWS,47232
1619,AWS,167289
1620,AWS,73714
1626,AWS,172750
1628,AWS,97934
1636,AWS,78059
1642,AWS,74801
1675,AWS,42507
1681,AWS,82013
1704,AWS,55931
1708,AWS,75735
1711,AWS,107810
1726,AWS,130323
1729,AWS,137257
1736,AWS,86961
1743,AWS,119598
1745,AWS,273838
1749,AWS,145239
1750,AWS,182542
1751,AWS,160290
1776,AWS,41569
1777,AWS,69873
1804,AWS,76070
1813,AWS,59023
1817,AWS,117984
1820,AWS,110592
1834,AWS,60128
1836,AWS,128116
1838,AWS,104170
1845,AWS,82425
1847,AWS,121453
1860,AWS,39414
1864,AWS,50027
1872,AWS,69797
1873,AWS,63533
1889,AWS,97183
1902,AWS,196644
1924,AWS,113713
1939,AWS,232337
1941,AWS,79677
1950,AWS,52005
1958,AWS,40124
1999,AWS,51840
2001,AWS,251718
2027,AWS,295058
2036,AWS,322318
2040,AWS,61384
2056,AWS,82005
2062,AWS,217955
2067,AWS,60005
2096,AWS,175364
2105,AWS,97999
2113,AWS,51253
2124,AWS,120019
2130,AWS,156004
2131,AWS,176316
2150,AWS,42236
2158,AWS,66115
2161,AWS,78161
2162,AWS,133857
2171,AWS,67010
2190,AWS,161300
2197,AWS,56366
2201,AWS,86985
2235,AWS,55582
2236,AWS,46985
2238,AWS,35027
2255,AWS,70816
2257,AWS,154593
2263,AWS,139280
2264,AWS,98681
2270,AWS,74392
2271,AWS,352006
2283,AWS,126405
2286,AWS,82830
2297,AWS,233463
2306,AWS,98366
2307,AWS,143650
2308,AWS,89375
2336,AWS,70887
2340,AWS,130544
2343,AWS,103623
2365,AWS,116556
2376,AWS,85664
2381,AWS,92638
2385,AWS,184379
2402,AWS,70814
2411,AWS,99115
2422,AWS,123831
2431,AWS,51367
2435,AWS,94628
2441,AWS,66156
2511,AWS,37731
2512,AWS,112455
2513,AWS,57887
2518,AWS,125416
2519,AWS,50961
2545,AWS,66853
2553,AWS,48677
2559,AWS,81908
2566,AWS,146710
2579,AWS,76208
2588,AWS,54884
2593,AWS,50180
2598,AWS,70034
2602,AWS,286929
2619,AWS,107360
2621,AWS,67474
2630,AWS,67539
2633,AWS,33013
2640,AWS,226322
2650,AWS,57234
2664,AWS,217751
2674,AWS,50741
2677,AWS,195760
2680,AWS,139073
2700,AWS,63449
2703,AWS,76197
2710,AWS,183725
2711,AWS,113521
2718,AWS,101908
2765,AWS,97292
2776,AWS,89274
2789,AWS,65806
2826,AWS,136162
2827,AWS,100772
2837,AWS,43447
2848,AWS,104787
2855,AWS,78501
2861,AWS,79434
2863,AWS,96624
2869,AWS,86184
2877,AWS,90301
2879,AWS,42927
2885,AWS,69904
2926,AWS,71087
2935,AWS,148137
2941,AWS,65223
2951,AWS,320213
2954,AWS,182135
2956,AWS,62629
2957,AWS,47110
2960,AWS,52452
2996,AWS,77736
3013,AWS,103670
3019,AWS,145754
3043,AWS,87703
3053,AWS,61525
3057,AWS,143721
3061,AWS,158957
3084,AWS,82319
3097,AWS,73172
3104,AWS,38845
3112,AWS,240743
3113,AWS,98287
3120,AWS,73003
3129,AWS,101236
3132,AWS,209841
3136,AWS,92592
3139,AWS,305680
3158,AWS,107758
3181,AWS,128103
3183,AWS,76474
3206,AWS,151054
3216,AWS,64100
3222,AWS,136484
3227,AWS,69942
3231,AWS,72874
3259,AWS,63754
3266,AWS,91281
3274,AWS,47175
3275,AWS,153635
3294,AWS,58735
3307,AWS,106461
3330,AWS,97938
3335,AWS,278354
3339,AWS,235192
3350,AWS,195741
3369,AWS,42303
3377,AWS,67330
3387,AWS,49145
3393,AWS,157188
3396,AWS,119251
3426,AWS,48201
3442,AWS,226918
3449,AWS,50682
3460,AWS,228177
3481,AWS,40661
3485,AWS,98908
3497,AWS,64105
3500,AWS,231680
3505,AWS,58218
3509,AWS,120398
3520,AWS,67015
3522,AWS,74304
3548,AWS,147721
3556,AWS,131179
3559,AWS,65319
3578,AWS,64824
3581,AWS,333499
3590,AWS,64398
3593,AWS,303956
3602,AWS,97519
3637,AWS,53075
3641,AWS,77541
3652,AWS,59261
3675,AWS,45086
3679,AWS,64369
3681,AWS,83480
3689,AWS,137292
3691,AWS,120407
3702,AWS,103305
3704,AWS,90835
3707,AWS,91502
3709,AWS,67312
3714,AWS,119757
3724,AWS,113807
3742,AWS,122903
3756,AWS,126213
3758,AWS,64394
3772,AWS,52834
3783,AWS,149957
3791,AWS,99196
3804,AWS,140296
3815,AWS,138691
3816,AWS,236640
3820,AWS,37856
3836,AWS,97293
3851,AWS,177134
3853,AWS,54672
3865,AWS,74606
3883,AWS,105208
3897,AWS,80819
3912,AWS,68160
3915,AWS,48304
3918,AWS,48428
3931,AWS,65120
3932,AWS,222338
3951,AWS,82628
3954,AWS,76688
3959,AWS,211533
3965,AWS,97652
3984,AWS,128632
3985,AWS,320999
3995,AWS,106322
3999,AWS,40777
4007,AWS,96320
4040,AWS,86090
4043,AWS,54472
4044,AWS,91332
4056,AWS,213967
4064,AWS,146810
4067,AWS,55862
4074,AWS,118733
4091,AWS,97082
4093,AWS,128377
4103,AWS,209054
4119,AWS,69660
4123,AWS,91247
4125,AWS,149341
4137,AWS,63724
4148,AWS,112546
4149,AWS,63101
4150,AWS,126441
4154,AWS,194944
4162,AWS,44452
4168,AWS,157725
4194,AWS,66411
4198,AWS,85898
4222,AWS,79039
4233,AWS,113343
4236,AWS,146612
4245,AWS,142721
4283,AWS,65824
4301,AWS,83972
4310,AWS,79685
4313,AWS,213820
4331,AWS,105631
4332,AWS,243179
4334,AWS,156301
4346,AWS,122874
4353,AWS,237736
4356,AWS,205645
4362,AWS,63531
4366,AWS,147092
4380,AWS,171616
4388,AWS,152444
4389,AWS,126016
4402,AWS,165795
4415,AWS,253344
4417,AWS,63853
4425,AWS,73792
4431,AWS,44078
4449,AWS,44149
4460,AWS,155816
4462,AWS,68853
4465,AWS,78824
4478,AWS,71734
4497,AWS,78614
4505,AWS,76200
4508,AWS,56785
4509,AWS,105624
4525,AWS,59643
4526,AWS,38449
4535,AWS,88053
4538,AWS,158799
4540,AWS,96983
4542,AWS,195397
4546,AWS,56535
4558,AWS,150834
4569,AWS,77884
4589,AWS,64661
4598,AWS,63840
4612,AWS,147219
4618,AWS,155681
4619,AWS,98296
4634,AWS,75958
4661,AWS,97010
4686,AWS,164267
4687,AWS,107543
4693,AWS,86198
4698,AWS,97681
4716,AWS,68167
4740,AWS,104524
4756,AWS,85575
4771,AWS,132933
4781,AWS,107760
4786,AWS,51587
4792,AWS,64868
4806,AWS,73861
4818,AWS,120198
4822,AWS,97742
4829,AWS,52110
4850,AWS,52958
4884,AWS,34190
4889,AWS,76755
4909,AWS,77776
4917,AWS,252413
4932,AWS,105096
4945,AWS,98656
4959,AWS,118865
4968,AWS,165290
4988,AWS,93488
4993,AWS,73817
4999,AWS,89632
5001,AWS,94160
5004,AWS,247664
5023,AWS,87851
5033,AWS,75639
5047,AWS,91240
5053,AWS,66010
5069,AWS,73980
5074,AWS,234880
5077,AWS,139100
5084,AWS,92064
5117,AWS,90425
5130,AWS,42452
5140,AWS,281427
5145,AWS,111678
5167,AWS,91709
5179,AWS,120408
5193,AWS,97769
5197,AWS,131700
5200,AWS,81946
5208,AWS,58260
5211,AWS,98356
5230,AWS,68013
5231,AWS,81102
5246,AWS,59081
5257,AWS,88328
5266,AWS,131030
5267,AWS,58379
5277,AWS,187039
5279,AWS,36155
5290,AWS,119039
5291,AWS,88731
5305,AWS,66077
5325,AWS,100665
5326,AWS,213815
5330,AWS,119828
5347,AWS,201695
5396,AWS,75166
5427,AWS,124236
5505,AWS,63872
5518,AWS,112477
5519,AWS,52021
5540,AWS,124113
5544,AWS,107066
5551,AWS,84853
5552,AWS,96073
5557,AWS,52032
5559,AWS,50137
5565,AWS,107305
5567,AWS,112063
5579,AWS,130422
5612,AWS,63809
5613,AWS,50477
5618,AWS,42821
5643,AWS,80885
5660,AWS,151110
5679,AWS,148781
5680,AWS,66477
5696,AWS,53825
5699,AWS,191554
5702,AWS,152832
5714,AWS,66015
5719,AWS,139869
5722,AWS,332780
5727,AWS,352707
5733,AWS,108525
5741,AWS,115623
5745,AWS,69421
5750,AWS,74149
5764,AWS,58565
5765,AWS,64382
5781,AWS,53006
5790,AWS,48706
5799,AWS,101742
5823,AWS,92625
5842,AWS,57312
5848,AWS,66282
5859,AWS,93215
5862,AWS,173985
5863,AWS,205134
5875,AWS,144869
5876,AWS,85641
5887,AWS,182070
5892,AWS,93234
5898,AWS,91631
5907,AWS,114245
5910,AWS,101837
5927,AWS,77159
5936,AWS,180456
5943,AWS,91896
5949,AWS,95873
5956,AWS,42445
5963,AWS,77687
5967,AWS,136303
5968,AWS,65348
5977,AWS,95031
5984,AWS,74688
5992,AWS,165274
5995,AWS,126033
6001,AWS,114259
6015,AWS,187920
6028,AWS,85579
6029,AWS,155722
6049,AWS,39957
6061,AWS,73048
6064,AWS,148538
6067,AWS,132015
6069,AWS,121545
6078,AWS,74173
6079,AWS,60280
6083,AWS,101407
6090,AWS,94197
6107,AWS,56106
6114,AWS,51092
6117,AWS,57079
6130,AWS,204226
6133,AWS,99617
6135,AWS,113934
6149,AWS,79564
6168,AWS,81215
6172,AWS,128677
6176,AWS,92409
6191,AWS,76525
6208,AWS,80192
6215,AWS,99989
6225,AWS,79199
6231,AWS,251256
6252,AWS,98308
6254,AWS,184862
6258,AWS,44804
6277,AWS,64286
6306,AWS,235795
6307,AWS,147155
6309,AWS,136144
6310,AWS,184210
6318,AWS,45727
6332,AWS,56196
6345,AWS,161183
6356,AWS,205456
6395,AWS,89555
6401,AWS,53046
6413,AWS,58585
6423,AWS,135648
6438,AWS,74342
6441,AWS,288416
6447,AWS,197473
6457,AWS,68912
6472,AWS,88282
6483,AWS,266292
6489,AWS,49837
6520,AWS,68546
6522,AWS,88944
6527,AWS,47475
6535,AWS,146336
6536,AWS,131006
6545,AWS,137758
6562,AWS,119837
6563,AWS,96362
6570,AWS,43657
6573,AWS,84258
6584,AWS,53454
6590,AWS,52800
6599,AWS,220552
6603,AWS,166527
6614,AWS,69590
6617,AWS,101330
6625,AWS,47587
6629,AWS,230069
6646,AWS,117192
6649,AWS,79953
6650,AWS,207747
6693,AWS,245116
6696,AWS,85248
6699,AWS,85579
6703,AWS,274952
6724,AWS,53108
6729,AWS,78183
6733,AWS,76253
6742,AWS,186847
6750,AWS,149540
6752,AWS,74333
6757,AWS,107419
6766,AWS,98983
6834,AWS,51383
6836,AWS,65329
6841,AWS,66443
6843,AWS,128209
6857,AWS,130727
6859,AWS,72663
6868,AWS,172544
6869,AWS,43218
6876,AWS,121014
6878,AWS,84302
6881,AWS,97608
6887,AWS,52362
6898,AWS,73899
6920,AWS,70163
6922,AWS,103559
6938,AWS,345399
6942,AWS,47400
6946,AWS,61707
6951,AWS,81473
6969,AWS,180580
6995,AWS,90698
7018,AWS,324312
7043,AWS,86482
7048,AWS,85937
7050,AWS,76286
7051,AWS,236052
7061,AWS,94091
7068,AWS,118399
7069,AWS,182387
7070,AWS,98982
7080,AWS,156254
7119,AWS,88939
7121,AWS,39377
7151,AWS,62040
7166,AWS,209900
7167,AWS,134902
7169,AWS,166159
7179,AWS,55144
7183,AWS,285250
7187,AWS,165715
7220,AWS,52753
7222,AWS,35544
7240,AWS,155084
7243,AWS,59947
7245,AWS,99463
7254,AWS,113357
7265,AWS,47798
7291,AWS,87119
7306,AWS,88775
7311,AWS,181104
7335,AWS,101405
7367,AWS,84819
7372,AWS,93718
7374,AWS,143355
7377,AWS,245186
7407,AWS,131563
7408,AWS,179995
7416,AWS,110449
7422,AWS,85549
7424,AWS,287048
7438,AWS,58476
7444,AWS,134669
7446,AWS,160559
7450,AWS,96383
7451,AWS,147767
7457,AWS,178054
7462,AWS,203714
7470,AWS,304967
7507,AWS,65254
7539,AWS,78339
7601,AWS,50370
7609,AWS,158620
7626,AWS,156319
7630,AWS,52795
7634,AWS,85441
7648,AWS,122933
7659,AWS,73839
7677,AWS,95926
7685,AWS,59751
7699,AWS,43274
7710,AWS,80286
7712,AWS,47946
7714,AWS,117557
7723,AWS,77475
7743,AWS,44177
7748,AWS,93323
7771,AWS,114982
7806,AWS,114654
7824,AWS,141308
7844,AWS,89157
7847,AWS,79315
7848,AWS,120900
7858,AWS,111436
7862,AWS,200943
7873,AWS,102025
7886,AWS,119713
7888,AWS,70498
7890,AWS,65158
7903,AWS,128937
7908,AWS,146036
7938,AWS,99582
7941,AWS,72248
7959,AWS,86824
7967,AWS,42386
7979,AWS,63242
7990,AWS,217876
7991,AWS,76772
7993,AWS,76447
8027,AWS,33854
8035,AWS,107966
8079,AWS,141241
8097,AWS,45107
8101,AWS,49372
8103,AWS,58958
8137,AWS,100060
8139,AWS,74942
8149,AWS,129688
8151,AWS,73305
8157,AWS,75692
8159,AWS,65827
8174,AWS,116731
8175,AWS,73310
8179,AWS,167354
8180,AWS,325619
8184,AWS,73552
8191,AWS,289395
8192,AWS,65812
8194,AWS,96868
8197,AWS,134305
8203,AWS,47678
8210,AWS,121033
8211,AWS,40055
8213,AWS,128763
8223,AWS,91766
8224,AWS,113647
8227,AWS,89656
8235,AWS,127615
8237,AWS,196472
8246,AWS,119389
8249,AWS,115732
8251,AWS,67253
8254,AWS,77732
8257,AWS,69423
8266,AWS,164201
8279,AWS,55031
8288,AWS,112196
8289,AWS,64601
8299,AWS,203963
8301,AWS,87786
8309,AWS,40487
8332,AWS,71274
8346,AWS,72554
8350,AWS,109896
8358,AWS,145779
8363,AWS,52742
8365,AWS,88473
8366,AWS,44971
8374,AWS,122982
8375,AWS,64708
8385,AWS,124505
8387,AWS,63197
8390,AWS,99185
8398,AWS,269323
8403,AWS,105867
8408,AWS,252220
8412,AWS,48327
8416,AWS,119458
8427,AWS,250432
8431,AWS,193345
